id,organization_id,identity_subject_id,status,invited_at_utc,joined_at_utc,suspended_at_utc,removed_at_utc,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
d0000000-0000-0000-0000-000000000002,d0000000-0000-0000-0000-000000000001,sample-user-001,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,\N,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
83e0b501-5fa7-519a-ab17-c4a849bbaca9,bb3420c0-32a0-5720-aa72-f0936f958648,sample-user-001,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,\N,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
3399753c-8119-5019-ad0b-716fb0667f24,945f204f-8a0b-5d85-842c-05aafebb966a,sample-user-001,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,\N,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
24809a26-196d-5044-ab9a-6ff54393bb4f,56a7e669-46f5-5118-a696-f2b6561f58ac,sample-user-001,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,\N,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e7e30899-ff7d-531c-afce-0d78e6c922b1,1cdb3803-079e-5438-a101-9d4d00dd4260,sample-user-001,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,\N,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
df2f1ada-c2c8-5154-8344-f7720e59587c,08c4efea-76ce-591c-a070-21215c088915,sample-user-001,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,\N,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e32feaf1-6ff0-54c8-82ce-45eee3a2bcbf,701792d1-1719-5c01-96c0-f5ba78aba70b,sample-user-001,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,\N,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ece4583a-a8b2-55a4-b174-6d1cebcd9f0a,1b264edf-2534-5780-af9e-bd9daf4e08d8,sample-user-001,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,\N,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
8db59250-ca10-52fa-bbd8-e74e5cdff14a,85ae16e0-e720-5553-bc62-af68b3c830c6,sample-user-001,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,\N,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
a7d2623b-db53-5697-98a3-34debba5cda5,9eab117f-d877-5ac6-ab8d-2fa518355633,sample-user-001,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,\N,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ef18da37-72a0-57ee-8c67-9ed29d4b749d,6d00f4f4-33ba-5482-b60c-e36040cfc7fc,sample-user-001,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,\N,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
7a02477d-d1e7-5012-95f3-69e8ce3ff524,6ee0d174-eaeb-52cb-b049-bd26500b460a,sample-user-001,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,\N,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
905fbae7-edee-5098-97d1-187fece232eb,ac369797-324c-58d6-b706-fbe0069434f6,sample-user-001,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,\N,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
d046e3a9-99e2-5e34-ae51-daa18c155861,f7045341-fa42-5fa7-997c-8ada85021b17,sample-user-001,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,\N,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
