id,code,name,status,default_time_zone,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
d0000000-0000-0000-0000-000000000001,demo_group,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
bb3420c0-32a0-5720-aa72-f0936f958648,demo_group-r01,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
945f204f-8a0b-5d85-842c-05aafebb966a,demo_group-r02,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
56a7e669-46f5-5118-a696-f2b6561f58ac,demo_group-r03,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
1cdb3803-079e-5438-a101-9d4d00dd4260,demo_group-r04,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
08c4efea-76ce-591c-a070-21215c088915,demo_group-r05,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
701792d1-1719-5c01-96c0-f5ba78aba70b,demo_group-r06,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
1b264edf-2534-5780-af9e-bd9daf4e08d8,demo_group-r07,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
85ae16e0-e720-5553-bc62-af68b3c830c6,demo_group-r08,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
9eab117f-d877-5ac6-ab8d-2fa518355633,demo_group-r09,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
6d00f4f4-33ba-5482-b60c-e36040cfc7fc,demo_group-r10,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
6ee0d174-eaeb-52cb-b049-bd26500b460a,demo_group-r11,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ac369797-324c-58d6-b706-fbe0069434f6,demo_group-r12,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
f7045341-fa42-5fa7-997c-8ada85021b17,demo_group-r13,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
1016d9ad-1813-5284-bb7e-63e5fc214b6e,demo_group-r14,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
d6cccba9-b2c0-5bc6-a7f0-51d92dcb8597,demo_group-r15,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e2dcb3af-2199-5191-8645-9ee1a29fd234,demo_group-r16,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
72ad6697-d517-56f3-9f5c-1cdf64c12ace,demo_group-r17,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
fbd98ac8-9d31-5911-aab4-51b8e96b5838,demo_group-r18,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
3ff64dca-8221-511a-8098-df35dada4770,demo_group-r19,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
25f48eef-0941-50eb-9d80-e38b836d4a90,demo_group-r20,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
f0955e44-e8c1-56b6-a5d9-43cb1ebb17fe,demo_group-r21,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
210a08f1-035e-5f78-82e0-0b2234bc9611,demo_group-r22,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
a8d11bea-09e0-59ab-b754-1cf45205dd64,demo_group-r23,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
d8ff86be-1f0b-59da-bae8-b56d0f38cfad,demo_group-r24,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
365829aa-f8c7-5814-a84b-64e99c79e06c,demo_group-r25,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
c7de6003-b197-5d17-846d-5bb46c89f44e,demo_group-r26,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
f84533cf-dd3c-516f-938c-a0dd6258b7e1,demo_group-r27,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
0f211d27-56e6-509e-83af-fe7b0bde4cc7,demo_group-r28,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
6621d572-7d70-5d77-a4cc-65108c371e87,demo_group-r29,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
d1bf0642-0870-54da-a2f1-fdd9990ad753,demo_group-r30,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
3e345325-9aae-535f-b440-65b46e2ea14b,demo_group-r31,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
96f5787a-aaff-5c4d-9e75-978ff4eeee76,demo_group-r32,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
afce03d6-6288-5d8d-84b2-8f57813ab3b1,demo_group-r33,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
585694d1-a212-5e38-8274-d89cdb637fe0,demo_group-r34,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
3e29ba1e-9f08-5dd5-bd2a-220f8cf18435,demo_group-r35,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
af20598b-dfbf-5a27-bf68-310101b54fb3,demo_group-r36,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
5514ddd4-541e-5e12-a182-b3a109bdfcc0,demo_group-r37,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
552c1125-1c2b-5e56-81f1-0a616c10910d,demo_group-r38,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
a254d701-6be3-5303-b2d3-1b145a64103a,demo_group-r39,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
15fa84d5-ef6a-516e-85d0-68e450395653,demo_group-r40,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
3d2f9688-83c1-506d-90d2-0ce27e8ea4d3,demo_group-r41,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
b81eced5-5092-5efc-95ab-f943423cfedb,demo_group-r42,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ca14f87b-f929-5e05-971d-7c8f74defdf8,demo_group-r43,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
9e2380ac-7d0e-5e59-b944-3c538376aabf,demo_group-r44,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
df1bacca-de81-5ee5-946e-f7ed9e186f0f,demo_group-r45,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
223317dc-d207-51c0-a8d2-246fae8ca7ca,demo_group-r46,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
a1a9021d-bcc4-50b5-b991-518bc3f617c7,demo_group-r47,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
b378ce5e-dab4-55e6-8a40-1528ea43c11a,demo_group-r48,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
5f08f12f-f5e0-589b-ac15-120e113673c0,demo_group-r49,Demo Hospitality Group,active,Asia/Singapore,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
