order_id,source_event_id,organization_id,restaurant_id,branch_id,terminal_id,employee_identity_subject_id,customer_id,channel,service_type,currency,subtotal_amount,discount_amount,service_charge_amount,tax_amount,total_amount,order_status,ordered_at_utc,completed_at_utc,projected_at_utc,source_event_version
0d000000-0000-0000-0000-000000000001,b0000000-0000-0000-0000-000000000001,d0000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000002,a3000000-0000-0000-0000-000000000002,sample-user-001,c5000000-0000-0000-0000-000000000001,pos,dine_in,SGD,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T11:55:00Z,2026-01-01T12:30:00Z,2026-01-01T12:31:00Z,1
1ac47f46-9b76-52e7-9710-a3270fdb6c0d,c9aabe6d-ed06-5cdf-a702-cbf89261edb9,bb3420c0-32a0-5720-aa72-f0936f958648,6e5493c8-856c-52d6-b23f-a9b8265b82a1,09bc7770-60a5-5937-9095-dddde233baed,93169812-f2e2-5aaf-a9dd-3147f9bc6851,sample-user-001,8bd6f9c9-b7a5-58e3-8b24-a6de79dbaf44,pos,dine_in,SGD,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T11:55:00Z,2026-01-01T12:30:00Z,2026-01-01T12:31:00Z,1
85924700-20f0-57e2-b29c-b6e2b159a606,536e0b2a-aa6b-5a64-b72c-9c833863ecdf,945f204f-8a0b-5d85-842c-05aafebb966a,bb432b46-9db3-5087-86a6-667d8a5461d2,c2581768-52bb-5a5e-bb60-ea8630c0cc48,9cb4b6a3-0d39-585c-98cd-63c386351d04,sample-user-001,be528f36-b683-51fc-bb91-63d4ffd6dc83,pos,dine_in,SGD,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T11:55:00Z,2026-01-01T12:30:00Z,2026-01-01T12:31:00Z,1
dc99f6f9-706a-506f-bc05-40359b125d5c,bd27f7f6-fe55-5143-9f7b-a847f74a4561,56a7e669-46f5-5118-a696-f2b6561f58ac,02893fb5-cd61-516d-a1c6-a31b633a8440,2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,f642df17-eed8-5540-ab47-18c9b21cbe81,sample-user-001,0b266f06-c755-5169-bc3e-ba9b1bdd2f8f,pos,dine_in,SGD,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T11:55:00Z,2026-01-01T12:30:00Z,2026-01-01T12:31:00Z,1
9256c8c8-680f-516d-bb84-8382ffd14af4,a89a0145-3230-52b3-9aa9-a98a159f23c9,1cdb3803-079e-5438-a101-9d4d00dd4260,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,c0a7cac5-1d51-54cc-8e20-d091007b9a5a,e49a40b0-a7ac-522a-8965-2e50afd6b6b4,sample-user-001,7cbe3383-9bbd-59f0-b0f5-f97f28407fca,pos,dine_in,SGD,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T11:55:00Z,2026-01-01T12:30:00Z,2026-01-01T12:31:00Z,1
350a23ee-21a4-5eb7-9c80-119858f5e6f1,4730fbe0-e294-57ac-9702-1069cad92d17,08c4efea-76ce-591c-a070-21215c088915,292495cc-29f1-532a-8347-61381793ace8,68c8496c-6b5f-5845-99d6-46d8d79afb1f,409f2746-194d-55f3-b954-9756439ec21c,sample-user-001,16d238ca-c49a-50fc-bc41-9e42cddf20fb,pos,dine_in,SGD,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T11:55:00Z,2026-01-01T12:30:00Z,2026-01-01T12:31:00Z,1
1c04c73e-f11e-5d30-8569-603615419a07,75d19604-b1be-5a95-bdfe-c3def0c8329a,701792d1-1719-5c01-96c0-f5ba78aba70b,f336981e-6b07-55f6-8f3b-5bb68a996561,87111368-22a3-51ff-a055-d0af38899e40,861c9702-e61d-53c5-90fe-2581fdd6a93b,sample-user-001,b3a6a94b-4f02-542c-8cb7-51c81f7c597a,pos,dine_in,SGD,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T11:55:00Z,2026-01-01T12:30:00Z,2026-01-01T12:31:00Z,1
ecd8c9c4-f108-5631-8771-8012591a3342,01d33cb1-ec4a-5457-8d76-7d80abd0afeb,1b264edf-2534-5780-af9e-bd9daf4e08d8,5afbb73d-34da-5169-9cd6-3631b29d6906,6ac09be1-21da-5bdf-a553-0d370aa48a48,61f876d7-1e3e-5d6d-af00-c790460a3cd9,sample-user-001,8440e79a-e220-5289-b652-ffe22e4d2854,pos,dine_in,SGD,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T11:55:00Z,2026-01-01T12:30:00Z,2026-01-01T12:31:00Z,1
5f93610e-1295-57be-8f01-73c755b8a29b,b6492c71-d645-5d57-88ae-373ae40e1e49,85ae16e0-e720-5553-bc62-af68b3c830c6,95aa4d42-7203-5581-a314-7ba4ff85735b,075f1655-5713-5584-b153-7cee0f5edfb1,a7596b1d-4f74-563f-9645-e2328437cbb0,sample-user-001,9a07c783-0054-5fb8-8db7-f2ee5c72f663,pos,dine_in,SGD,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T11:55:00Z,2026-01-01T12:30:00Z,2026-01-01T12:31:00Z,1
82ccac59-060b-5257-a765-69f8d1da1e62,dacce7ae-a1c9-5be9-8f0e-591b6b903be9,9eab117f-d877-5ac6-ab8d-2fa518355633,8550b566-c89f-5552-86ca-8f25b0b21d4d,0c99f45b-6fe6-5a1e-96fc-98333cca6f88,cb2ca33d-7c9a-5e14-a2b5-31d698ed9a60,sample-user-001,4ff8f0ff-43ae-531e-a627-25bc8ce28c80,pos,dine_in,SGD,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T11:55:00Z,2026-01-01T12:30:00Z,2026-01-01T12:31:00Z,1
