shift_id,source_event_id,organization_id,restaurant_id,branch_id,terminal_id,employee_identity_subject_id,currency,opening_amount,cash_sales_amount,cash_refunds_amount,pay_in_amount,pay_out_amount,expected_closing_amount,actual_closing_amount,variance_amount,opened_at_utc,closed_at_utc,projected_at_utc,source_event_version
a3000000-0000-0000-0000-000000000003,b0000000-0000-0000-0000-000000000005,d0000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000002,a3000000-0000-0000-0000-000000000002,sample-user-001,SGD,100.0000,19.5160,0.0000,0.0000,0.0000,119.5160,119.5160,0.0000,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T16:01:00Z,1
e50922a8-9840-5fde-81a4-2b897aae7962,5e5e5250-da93-5d69-91b3-5999a3ed8525,bb3420c0-32a0-5720-aa72-f0936f958648,6e5493c8-856c-52d6-b23f-a9b8265b82a1,09bc7770-60a5-5937-9095-dddde233baed,93169812-f2e2-5aaf-a9dd-3147f9bc6851,sample-user-001,SGD,100.0000,19.5160,0.0000,0.0000,0.0000,119.5160,119.5160,0.0000,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T16:01:00Z,1
a0e11fbf-e888-5b0c-b41a-e2c3803dcd66,61b05f6c-c1e3-57ae-b161-9fa766d40e09,945f204f-8a0b-5d85-842c-05aafebb966a,bb432b46-9db3-5087-86a6-667d8a5461d2,c2581768-52bb-5a5e-bb60-ea8630c0cc48,9cb4b6a3-0d39-585c-98cd-63c386351d04,sample-user-001,SGD,100.0000,19.5160,0.0000,0.0000,0.0000,119.5160,119.5160,0.0000,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T16:01:00Z,1
71250264-edc1-548c-a612-39631edde8b5,e4255380-0a66-5af8-981d-3a28d898d842,56a7e669-46f5-5118-a696-f2b6561f58ac,02893fb5-cd61-516d-a1c6-a31b633a8440,2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,f642df17-eed8-5540-ab47-18c9b21cbe81,sample-user-001,SGD,100.0000,19.5160,0.0000,0.0000,0.0000,119.5160,119.5160,0.0000,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T16:01:00Z,1
42212311-fe89-5efe-85ac-692ec4c772e5,d6d3d148-eba7-5b28-9bfa-e82aeb1ff93e,1cdb3803-079e-5438-a101-9d4d00dd4260,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,c0a7cac5-1d51-54cc-8e20-d091007b9a5a,e49a40b0-a7ac-522a-8965-2e50afd6b6b4,sample-user-001,SGD,100.0000,19.5160,0.0000,0.0000,0.0000,119.5160,119.5160,0.0000,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T16:01:00Z,1
6866dcf0-0826-5033-931d-994e95f3b6c8,195f55fd-0ff1-56bd-8e16-aa505f5dd62a,08c4efea-76ce-591c-a070-21215c088915,292495cc-29f1-532a-8347-61381793ace8,68c8496c-6b5f-5845-99d6-46d8d79afb1f,409f2746-194d-55f3-b954-9756439ec21c,sample-user-001,SGD,100.0000,19.5160,0.0000,0.0000,0.0000,119.5160,119.5160,0.0000,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T16:01:00Z,1
0033216a-a62b-5fc4-a3b4-f64c44025683,16a37d4d-4239-5c3f-ae88-18483df726fb,701792d1-1719-5c01-96c0-f5ba78aba70b,f336981e-6b07-55f6-8f3b-5bb68a996561,87111368-22a3-51ff-a055-d0af38899e40,861c9702-e61d-53c5-90fe-2581fdd6a93b,sample-user-001,SGD,100.0000,19.5160,0.0000,0.0000,0.0000,119.5160,119.5160,0.0000,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T16:01:00Z,1
01a4614b-60a4-556d-a69d-f1810c3d924b,278f06dd-6cce-587c-99e1-a04625b9d786,1b264edf-2534-5780-af9e-bd9daf4e08d8,5afbb73d-34da-5169-9cd6-3631b29d6906,6ac09be1-21da-5bdf-a553-0d370aa48a48,61f876d7-1e3e-5d6d-af00-c790460a3cd9,sample-user-001,SGD,100.0000,19.5160,0.0000,0.0000,0.0000,119.5160,119.5160,0.0000,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T16:01:00Z,1
c54dfe76-16c4-5e6a-80cd-2c9a84659200,d8477536-1c3b-5ab6-8224-3a574e4539f9,85ae16e0-e720-5553-bc62-af68b3c830c6,95aa4d42-7203-5581-a314-7ba4ff85735b,075f1655-5713-5584-b153-7cee0f5edfb1,a7596b1d-4f74-563f-9645-e2328437cbb0,sample-user-001,SGD,100.0000,19.5160,0.0000,0.0000,0.0000,119.5160,119.5160,0.0000,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T16:01:00Z,1
cfe4bd8d-2112-5670-99e8-ef3e347ebda3,475b9c2a-6c9a-5b6a-86ab-94b813c77617,9eab117f-d877-5ac6-ab8d-2fa518355633,8550b566-c89f-5552-86ca-8f25b0b21d4d,0c99f45b-6fe6-5a1e-96fc-98333cca6f88,cb2ca33d-7c9a-5e14-a2b5-31d698ed9a60,sample-user-001,SGD,100.0000,19.5160,0.0000,0.0000,0.0000,119.5160,119.5160,0.0000,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T16:01:00Z,1
