kitchen_ticket_item_id,source_event_id,organization_id,restaurant_id,branch_id,order_id,order_line_id,preparation_station_id,queued_at_utc,started_at_utc,ready_at_utc,completed_at_utc,queue_seconds,preparation_seconds,total_seconds,final_status,projected_at_utc,source_event_version
a1000000-0000-0000-0000-000000000002,b0000000-0000-0000-0000-000000000004,d0000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000002,0d000000-0000-0000-0000-000000000001,0d000000-0000-0000-0000-000000000002,ca000000-0000-0000-0000-000000000003,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,120,780,960,completed,2026-01-01T12:31:00Z,1
76fdbc92-3dcf-5083-92b9-9327b073c381,e65257cb-e190-56cc-94fd-799b1c289313,bb3420c0-32a0-5720-aa72-f0936f958648,6e5493c8-856c-52d6-b23f-a9b8265b82a1,09bc7770-60a5-5937-9095-dddde233baed,1ac47f46-9b76-52e7-9710-a3270fdb6c0d,a593f0b5-8993-5ba4-85c3-93999ba3f1f3,71c30b71-ac96-5091-9412-cfe9f8a06f37,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,120,780,960,completed,2026-01-01T12:31:00Z,1
693940cd-1795-51b4-8dce-b84706e8c35c,f74b2a47-fa3c-51c2-8dbb-1256b2a183b5,945f204f-8a0b-5d85-842c-05aafebb966a,bb432b46-9db3-5087-86a6-667d8a5461d2,c2581768-52bb-5a5e-bb60-ea8630c0cc48,85924700-20f0-57e2-b29c-b6e2b159a606,0d48819b-642f-5588-865f-0dbc6bbe955b,3d296e9d-0a6e-5458-ba5d-f375605f8052,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,120,780,960,completed,2026-01-01T12:31:00Z,1
5646346f-4834-50f9-b242-10cc3fd3437f,cd9f82b5-9ae4-5338-90b5-4e26e39ffb98,56a7e669-46f5-5118-a696-f2b6561f58ac,02893fb5-cd61-516d-a1c6-a31b633a8440,2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,dc99f6f9-706a-506f-bc05-40359b125d5c,999f5a59-3d14-5285-938d-463bede3c48c,460f3759-9ab9-54d3-adc7-d7b498223c32,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,120,780,960,completed,2026-01-01T12:31:00Z,1
eb870fe7-1714-578c-8d06-f19910dcf6b2,1de0d7e4-49ae-5a45-9dc3-f24f329201b4,1cdb3803-079e-5438-a101-9d4d00dd4260,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,c0a7cac5-1d51-54cc-8e20-d091007b9a5a,9256c8c8-680f-516d-bb84-8382ffd14af4,a200074a-e3a0-50f9-bd46-030062bce7c8,426fde10-4dae-5c84-abc9-2e76f8b92c71,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,120,780,960,completed,2026-01-01T12:31:00Z,1
b145d296-97d0-572e-994d-7642fa02b1f3,aafad32c-8570-57ee-81de-d1d2b334830b,08c4efea-76ce-591c-a070-21215c088915,292495cc-29f1-532a-8347-61381793ace8,68c8496c-6b5f-5845-99d6-46d8d79afb1f,350a23ee-21a4-5eb7-9c80-119858f5e6f1,6f16ad8c-5da6-5c04-856f-7e8d2e704a37,ae1ba148-3ef0-5f91-b041-d5d3d4bf25cd,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,120,780,960,completed,2026-01-01T12:31:00Z,1
cb242d67-be41-5be6-88ed-2c6205ace2ca,e2f87d34-ad0d-58ed-aca3-2f3c531b6e6f,701792d1-1719-5c01-96c0-f5ba78aba70b,f336981e-6b07-55f6-8f3b-5bb68a996561,87111368-22a3-51ff-a055-d0af38899e40,1c04c73e-f11e-5d30-8569-603615419a07,58b18c88-a62c-5dd3-91fd-ab853d56125c,0432a1fa-986e-584b-a6ba-8b04746a12cf,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,120,780,960,completed,2026-01-01T12:31:00Z,1
1b0e06ab-0a69-54d6-9b14-890e04388018,9878249c-5b10-5625-a19e-15cb11142dfb,1b264edf-2534-5780-af9e-bd9daf4e08d8,5afbb73d-34da-5169-9cd6-3631b29d6906,6ac09be1-21da-5bdf-a553-0d370aa48a48,ecd8c9c4-f108-5631-8771-8012591a3342,e1b99fb7-bdb7-53d9-ab1b-f5f5f4e81aa1,3f3391c4-7450-5028-9b69-734bda2d3c75,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,120,780,960,completed,2026-01-01T12:31:00Z,1
27b00784-f41a-5446-9ca4-9662e3cd6081,21d9a78d-2117-58db-908c-0621633bc871,85ae16e0-e720-5553-bc62-af68b3c830c6,95aa4d42-7203-5581-a314-7ba4ff85735b,075f1655-5713-5584-b153-7cee0f5edfb1,5f93610e-1295-57be-8f01-73c755b8a29b,74e9db19-03a3-5e49-b016-44fd832f30d6,41263552-deb9-5a7b-9df3-6ece5e723b86,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,120,780,960,completed,2026-01-01T12:31:00Z,1
395c1e1e-fa49-5e02-a6d0-052e25dbad21,f1ee42c7-e810-5573-9c2d-cacc46414137,9eab117f-d877-5ac6-ab8d-2fa518355633,8550b566-c89f-5552-86ca-8f25b0b21d4d,0c99f45b-6fe6-5a1e-96fc-98333cca6f88,82ccac59-060b-5257-a765-69f8d1da1e62,8f47c7e2-02ff-5490-9a56-5249ac5881f0,c8299bee-aa1e-568e-a3c0-427d59ca553b,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,120,780,960,completed,2026-01-01T12:31:00Z,1
