restaurant_id,product_id,category_id,display_order,created_at_utc,created_by
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002001,ca100000-0000-0000-0000-000000001001,10,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002002,ca100000-0000-0000-0000-000000001001,20,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002003,ca100000-0000-0000-0000-000000001001,30,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002004,ca100000-0000-0000-0000-000000001001,40,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002005,ca100000-0000-0000-0000-000000001001,50,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002006,ca100000-0000-0000-0000-000000001002,10,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002007,ca100000-0000-0000-0000-000000001002,20,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002008,ca100000-0000-0000-0000-000000001002,30,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002009,ca100000-0000-0000-0000-000000001002,40,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002010,ca100000-0000-0000-0000-000000001002,50,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002011,ca100000-0000-0000-0000-000000001002,60,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002012,ca100000-0000-0000-0000-000000001002,70,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002013,ca100000-0000-0000-0000-000000001002,80,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002014,ca100000-0000-0000-0000-000000001002,90,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002015,ca100000-0000-0000-0000-000000001002,100,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002016,ca100000-0000-0000-0000-000000001002,110,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002017,ca100000-0000-0000-0000-000000001002,120,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002018,ca100000-0000-0000-0000-000000001002,130,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002019,ca100000-0000-0000-0000-000000001002,140,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002020,ca100000-0000-0000-0000-000000001002,150,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002021,ca100000-0000-0000-0000-000000001005,10,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002022,ca100000-0000-0000-0000-000000001005,20,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002023,ca100000-0000-0000-0000-000000001005,30,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002024,ca100000-0000-0000-0000-000000001005,40,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002025,ca100000-0000-0000-0000-000000001005,50,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002026,ca100000-0000-0000-0000-000000001003,10,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002027,ca100000-0000-0000-0000-000000001003,20,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002028,ca100000-0000-0000-0000-000000001003,30,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002029,ca100000-0000-0000-0000-000000001003,40,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002030,ca100000-0000-0000-0000-000000001003,50,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002031,ca100000-0000-0000-0000-000000001004,10,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002032,ca100000-0000-0000-0000-000000001004,20,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002033,ca100000-0000-0000-0000-000000001004,30,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002034,ca100000-0000-0000-0000-000000001004,40,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002035,ca100000-0000-0000-0000-000000001004,50,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002036,ca100000-0000-0000-0000-000000001004,60,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002037,ca100000-0000-0000-0000-000000001004,70,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002038,ca100000-0000-0000-0000-000000001004,80,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002039,ca100000-0000-0000-0000-000000001004,90,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002040,ca100000-0000-0000-0000-000000001004,100,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002041,ca100000-0000-0000-0000-000000001005,60,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002042,ca100000-0000-0000-0000-000000001005,70,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002043,ca100000-0000-0000-0000-000000001005,80,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002044,ca100000-0000-0000-0000-000000001005,90,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002045,ca100000-0000-0000-0000-000000001005,100,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002046,ca100000-0000-0000-0000-000000001005,110,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002047,ca100000-0000-0000-0000-000000001005,120,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002048,ca100000-0000-0000-0000-000000001005,130,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002049,ca100000-0000-0000-0000-000000001005,140,2026-01-01T00:00:00Z,csv-import
ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000002050,ca100000-0000-0000-0000-000000001005,150,2026-01-01T00:00:00Z,csv-import
