id,organization_id,code,name,legal_name,default_currency,default_time_zone,status,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000001,d0000000-0000-0000-0000-000000000001,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
6e5493c8-856c-52d6-b23f-a9b8265b82a1,bb3420c0-32a0-5720-aa72-f0936f958648,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
bb432b46-9db3-5087-86a6-667d8a5461d2,945f204f-8a0b-5d85-842c-05aafebb966a,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
02893fb5-cd61-516d-a1c6-a31b633a8440,56a7e669-46f5-5118-a696-f2b6561f58ac,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
8c3b74c7-06ef-5cee-b54c-5f1604076f2e,1cdb3803-079e-5438-a101-9d4d00dd4260,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
292495cc-29f1-532a-8347-61381793ace8,08c4efea-76ce-591c-a070-21215c088915,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
f336981e-6b07-55f6-8f3b-5bb68a996561,701792d1-1719-5c01-96c0-f5ba78aba70b,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
5afbb73d-34da-5169-9cd6-3631b29d6906,1b264edf-2534-5780-af9e-bd9daf4e08d8,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
95aa4d42-7203-5581-a314-7ba4ff85735b,85ae16e0-e720-5553-bc62-af68b3c830c6,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
8550b566-c89f-5552-86ca-8f25b0b21d4d,9eab117f-d877-5ac6-ab8d-2fa518355633,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
d615a3b5-351d-5ed5-bb69-c4dcac36aa00,6d00f4f4-33ba-5482-b60c-e36040cfc7fc,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
bb3ac671-6c2e-5416-acd7-85d71693d50e,6ee0d174-eaeb-52cb-b049-bd26500b460a,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
bfad71f3-0e54-5467-bb83-c8664b3d7bc3,ac369797-324c-58d6-b706-fbe0069434f6,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
104f9e79-e136-5ed4-a852-64d160340e45,f7045341-fa42-5fa7-997c-8ada85021b17,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
caa70f0d-2314-5cf5-a481-0c259c347e04,1016d9ad-1813-5284-bb7e-63e5fc214b6e,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
a8e4c50c-665a-56b1-b68c-03b500b4ba4a,d6cccba9-b2c0-5bc6-a7f0-51d92dcb8597,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
6cf0dd31-f5a3-5fb4-bdc2-733a20f5f35c,e2dcb3af-2199-5191-8645-9ee1a29fd234,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
5a29b0dd-09ca-560f-b248-db0555c5c325,72ad6697-d517-56f3-9f5c-1cdf64c12ace,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
bab016a4-e1f0-5423-95ba-68a55a375518,fbd98ac8-9d31-5911-aab4-51b8e96b5838,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
bf67c71a-ef24-5eed-87ee-0b99059448c0,3ff64dca-8221-511a-8098-df35dada4770,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
07b24cca-976d-532c-9467-d2343cc9f38d,25f48eef-0941-50eb-9d80-e38b836d4a90,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
fa9711c5-4a59-5910-b824-83392f64a533,f0955e44-e8c1-56b6-a5d9-43cb1ebb17fe,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
597b352f-cbab-5ea6-893f-73309ac2fbf9,210a08f1-035e-5f78-82e0-0b2234bc9611,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
22681635-41b9-56da-a764-798ba158a3ac,a8d11bea-09e0-59ab-b754-1cf45205dd64,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
07ec22d2-2b6d-5c14-8ffc-39efd39e0a9e,d8ff86be-1f0b-59da-bae8-b56d0f38cfad,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
fce39051-f305-572f-83db-29fbaf5b798a,365829aa-f8c7-5814-a84b-64e99c79e06c,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
d6cf8637-33f0-58ca-a006-64b3c3f5b7f1,c7de6003-b197-5d17-846d-5bb46c89f44e,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
4b8ac2bc-db12-5fb9-8556-20aa186929f6,f84533cf-dd3c-516f-938c-a0dd6258b7e1,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
7a5fbc73-7498-500c-b457-d15f22bb9989,0f211d27-56e6-509e-83af-fe7b0bde4cc7,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
8ca9e1ae-e628-59af-8ab4-395d06328807,6621d572-7d70-5d77-a4cc-65108c371e87,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
98e2754e-6697-50e6-8bab-81a98e4aeca7,d1bf0642-0870-54da-a2f1-fdd9990ad753,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
bbf4f4ee-81c9-55b0-80af-33be79e561ee,3e345325-9aae-535f-b440-65b46e2ea14b,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
c1460c74-b0e2-5d90-9797-9f6b2e861e30,96f5787a-aaff-5c4d-9e75-978ff4eeee76,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
67af2cf8-ba63-5420-aaa1-3d4828850036,afce03d6-6288-5d8d-84b2-8f57813ab3b1,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
517ff701-319d-502a-b5b9-e1c36a3cde3c,585694d1-a212-5e38-8274-d89cdb637fe0,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
b3efb6f0-9635-58cf-b533-6394b23e857d,3e29ba1e-9f08-5dd5-bd2a-220f8cf18435,harbour_bistro,Harbour Bistro,Demo Hospitality Pte. Ltd.,SGD,Asia/Singapore,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
