id,branch_id,schedule_kind,day_of_week,effective_date,interval_sequence,opens_at,closes_at,is_closed,label,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000013,ca000000-0000-0000-0000-000000000002,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
1a38cc13-cf82-5622-88b4-86f3154c4349,09bc7770-60a5-5937-9095-dddde233baed,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
eb9b7502-0b6f-5f1d-89b5-8838cabf99ce,c2581768-52bb-5a5e-bb60-ea8630c0cc48,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
49085d04-b069-59be-ac0e-2e0d156417ef,2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
203284d8-36cd-5bbe-b166-108d164931f8,c0a7cac5-1d51-54cc-8e20-d091007b9a5a,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
5f21ddf3-d501-56c6-8940-50e8140557c4,68c8496c-6b5f-5845-99d6-46d8d79afb1f,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
818a07cc-b9c9-50fa-b0a2-2d3b91eb7c4e,87111368-22a3-51ff-a055-d0af38899e40,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
1a64107c-56b0-5742-a827-3bfb890df8d1,6ac09be1-21da-5bdf-a553-0d370aa48a48,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
f8e21703-bfd0-55b4-bd1b-defbbcc20850,075f1655-5713-5584-b153-7cee0f5edfb1,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
b979192d-cdef-524e-84bb-397be480e7db,0c99f45b-6fe6-5a1e-96fc-98333cca6f88,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
b7d8f6c5-433c-570e-b17f-1232f15c982c,fa14de3c-59ba-5043-85cf-df1adc6ec579,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
eaec62ac-4ed7-5265-9bce-c546d69884d5,d95ff0d0-166d-5c92-a350-c84753a190e6,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
d53b9e32-53f3-55fc-b850-47e061dc1d8c,4f8897d5-01d5-51cf-b731-c0c00a95f276,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ef4dee1a-864f-57ae-86da-bb1faced6b58,667d8806-3545-519a-b50d-53f59e32b5de,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
1e1c26e4-9538-53c7-8168-68a0e3d988be,5fc8b896-34d2-51bd-a704-ce34bc761aa5,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
55877660-aaf7-583e-a1d4-8d820dcd74e1,ffe4fc95-0766-5217-8799-406087e64b0a,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
1177f449-b05f-5aea-a509-d2925adb2571,e7663958-ddb0-5009-aee0-c69a3861fd37,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
03d98a4b-e519-505b-b929-e9b9a5007b1d,f8931a36-3c7e-5d3d-b99b-0e8000d839ce,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
930f7e38-2196-5739-ad90-31a1385a91c3,c0a69b24-fff7-59b2-8e17-c301343502e7,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
cc882cee-002e-598c-b99d-49a32b5cc980,845ec984-3327-5af2-b730-832d5fb90ea6,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
cf33bb73-b523-54c9-a878-e5708631d0d8,2e2fed70-3112-5e2b-afae-d094b8e1a56d,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
7c328373-355a-5d50-ba0d-8f4e8cad474b,042f9a90-c603-52f8-9683-6dd865bd3467,weekly,1,\N,1,09:00,22:00,false,Monday service,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
