id,branch_id,code,name,station_type,display_order,status,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000003,ca000000-0000-0000-0000-000000000002,hot_kitchen,Hot Kitchen,kitchen,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ca000000-0000-0000-0000-000000000004,ca000000-0000-0000-0000-000000000002,coffee_bar,Coffee Bar,bar,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
71c30b71-ac96-5091-9412-cfe9f8a06f37,09bc7770-60a5-5937-9095-dddde233baed,hot_kitchen,Hot Kitchen,kitchen,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
f167e2c2-8915-5271-bbe2-bc6e46c07053,09bc7770-60a5-5937-9095-dddde233baed,coffee_bar,Coffee Bar,bar,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
3d296e9d-0a6e-5458-ba5d-f375605f8052,c2581768-52bb-5a5e-bb60-ea8630c0cc48,hot_kitchen,Hot Kitchen,kitchen,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
bc182f17-bfec-5ace-ba51-0d6b32d2f496,c2581768-52bb-5a5e-bb60-ea8630c0cc48,coffee_bar,Coffee Bar,bar,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
460f3759-9ab9-54d3-adc7-d7b498223c32,2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,hot_kitchen,Hot Kitchen,kitchen,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
6d76fe13-1fce-5a5c-baf4-9645c1ac1b6b,2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,coffee_bar,Coffee Bar,bar,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
426fde10-4dae-5c84-abc9-2e76f8b92c71,c0a7cac5-1d51-54cc-8e20-d091007b9a5a,hot_kitchen,Hot Kitchen,kitchen,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
2bdec562-fb4e-5795-83ce-62eaf90d2509,c0a7cac5-1d51-54cc-8e20-d091007b9a5a,coffee_bar,Coffee Bar,bar,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
