id,restaurant_id,code,name,time_zone,currency,phone_number,email_address,address_line_1,city,postal_code,country_code,business_configuration,status,opened_at_utc,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000002,ca000000-0000-0000-0000-000000000001,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
09bc7770-60a5-5937-9095-dddde233baed,6e5493c8-856c-52d6-b23f-a9b8265b82a1,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
c2581768-52bb-5a5e-bb60-ea8630c0cc48,bb432b46-9db3-5087-86a6-667d8a5461d2,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,02893fb5-cd61-516d-a1c6-a31b633a8440,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
c0a7cac5-1d51-54cc-8e20-d091007b9a5a,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
68c8496c-6b5f-5845-99d6-46d8d79afb1f,292495cc-29f1-532a-8347-61381793ace8,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
87111368-22a3-51ff-a055-d0af38899e40,f336981e-6b07-55f6-8f3b-5bb68a996561,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
6ac09be1-21da-5bdf-a553-0d370aa48a48,5afbb73d-34da-5169-9cd6-3631b29d6906,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
075f1655-5713-5584-b153-7cee0f5edfb1,95aa4d42-7203-5581-a314-7ba4ff85735b,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
0c99f45b-6fe6-5a1e-96fc-98333cca6f88,8550b566-c89f-5552-86ca-8f25b0b21d4d,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
fa14de3c-59ba-5043-85cf-df1adc6ec579,d615a3b5-351d-5ed5-bb69-c4dcac36aa00,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
d95ff0d0-166d-5c92-a350-c84753a190e6,bb3ac671-6c2e-5416-acd7-85d71693d50e,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
4f8897d5-01d5-51cf-b731-c0c00a95f276,bfad71f3-0e54-5467-bb83-c8664b3d7bc3,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
667d8806-3545-519a-b50d-53f59e32b5de,104f9e79-e136-5ed4-a852-64d160340e45,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
5fc8b896-34d2-51bd-a704-ce34bc761aa5,caa70f0d-2314-5cf5-a481-0c259c347e04,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ffe4fc95-0766-5217-8799-406087e64b0a,a8e4c50c-665a-56b1-b68c-03b500b4ba4a,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e7663958-ddb0-5009-aee0-c69a3861fd37,6cf0dd31-f5a3-5fb4-bdc2-733a20f5f35c,marina,Marina Branch,Asia/Singapore,SGD,+6500000000,hello@example.test,1 Fictional Quay,Singapore,000001,SG,"{""serviceChargePercent"":10}",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
