id,media_asset_id,variant_name,object_key,content_type,size_bytes,checksum_sha256,width_pixels,height_pixels,status,created_at_utc
a4000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000901,thumbnail,sample/catalog/harbour-burger-thumbnail.jpg,image/jpeg,256,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,200,150,ready,2026-01-01T00:01:00Z
0b2d68d3-a7d9-5e5c-9524-cd908064c0d1,6cffc718-2e01-5d0a-afad-33a2aaecc632,thumbnail,sample/catalog/harbour-burger-thumbnail.jpg-r01,image/jpeg,256,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,200,150,ready,2026-01-01T00:01:00Z
3517639d-f8a0-5f26-a5d8-7d5c436f00ef,1613cbce-5fa8-5acf-90ec-72aa2f629f94,thumbnail,sample/catalog/harbour-burger-thumbnail.jpg-r02,image/jpeg,256,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,200,150,ready,2026-01-01T00:01:00Z
b155f1cd-abcf-5a6a-9219-4dc10627f477,e71b4942-f5ca-5138-a063-761fe72bf284,thumbnail,sample/catalog/harbour-burger-thumbnail.jpg-r03,image/jpeg,256,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,200,150,ready,2026-01-01T00:01:00Z
499f4d1a-9ad0-5f0f-a746-28f2ed7334cf,d6637108-638f-5d3b-bdc2-9393813d4534,thumbnail,sample/catalog/harbour-burger-thumbnail.jpg-r04,image/jpeg,256,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,200,150,ready,2026-01-01T00:01:00Z
556ccb7d-5b1c-50d3-b90e-e1647517e6c0,04633f50-7301-560c-9a2b-207abe7e9249,thumbnail,sample/catalog/harbour-burger-thumbnail.jpg-r05,image/jpeg,256,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,200,150,ready,2026-01-01T00:01:00Z
b655398d-ba04-5275-8fa1-431088c8d630,65bb9894-c363-5a67-8708-074ec2964b39,thumbnail,sample/catalog/harbour-burger-thumbnail.jpg-r06,image/jpeg,256,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,200,150,ready,2026-01-01T00:01:00Z
93f0f8a1-2d45-554b-bcb6-672527966de4,07082bc6-e8f0-5793-b3a9-550635446b3c,thumbnail,sample/catalog/harbour-burger-thumbnail.jpg-r07,image/jpeg,256,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,200,150,ready,2026-01-01T00:01:00Z
a5b96da4-30a1-5b56-9d8f-9d7e66986fd9,e1d1f944-7250-59e0-bca7-53ae9186d091,thumbnail,sample/catalog/harbour-burger-thumbnail.jpg-r08,image/jpeg,256,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,200,150,ready,2026-01-01T00:01:00Z
c1a9b0cb-20d6-526a-866c-a77b1858f11c,4f87f709-4a38-5e64-906f-22dddd47df4e,thumbnail,sample/catalog/harbour-burger-thumbnail.jpg-r09,image/jpeg,256,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,200,150,ready,2026-01-01T00:01:00Z
d529fa0f-5b08-58c7-9903-f4495b8bd35f,b6198dc2-225e-5335-8721-dddb348027f2,thumbnail,sample/catalog/harbour-burger-thumbnail.jpg-r10,image/jpeg,256,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,200,150,ready,2026-01-01T00:01:00Z
f2cd6e04-b3d9-5edb-bc30-40f589280319,75cec102-c257-5cbb-90c5-a76e10b427c7,thumbnail,sample/catalog/harbour-burger-thumbnail.jpg-r11,image/jpeg,256,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,200,150,ready,2026-01-01T00:01:00Z
