id,organization_id,owner_service,owner_type,owner_id,object_key,original_file_name,content_type,size_bytes,checksum_sha256,width_pixels,height_pixels,processing_status,uploaded_at_utc,processed_at_utc,deleted_at_utc,created_by,updated_at_utc,concurrency_version
ca000000-0000-0000-0000-000000000901,d0000000-0000-0000-0000-000000000001,Catalog,product,ca000000-0000-0000-0000-000000000301,sample/catalog/harbour-burger.jpg,harbour-burger.jpg,image/jpeg,1024,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,800,600,ready,2026-01-01T00:00:00Z,2026-01-01T00:01:00Z,\N,sample-data,2026-01-01T00:01:00Z,1
ca000000-0000-0000-0000-000000000902,d0000000-0000-0000-0000-000000000001,Catalog,product,ca000000-0000-0000-0000-000000000302,sample/catalog/orchard-coffee.jpg,orchard-coffee.jpg,image/jpeg,1024,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,800,600,ready,2026-01-01T00:00:00Z,2026-01-01T00:01:00Z,\N,sample-data,2026-01-01T00:01:00Z,1
6cffc718-2e01-5d0a-afad-33a2aaecc632,bb3420c0-32a0-5720-aa72-f0936f958648,Catalog,product,83686fd2-1032-5473-a5e2-3a1b1c8d78c0,sample/catalog/harbour-burger.jpg-r01,harbour-burger.jpg,image/jpeg,1024,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,800,600,ready,2026-01-01T00:00:00Z,2026-01-01T00:01:00Z,\N,sample-data,2026-01-01T00:01:00Z,1
eba4c758-a761-5956-9fff-8aa5102c64b8,bb3420c0-32a0-5720-aa72-f0936f958648,Catalog,product,4695d689-2aec-5a8e-91d0-ba2db9ca6d0e,sample/catalog/orchard-coffee.jpg-r01,orchard-coffee.jpg,image/jpeg,1024,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,800,600,ready,2026-01-01T00:00:00Z,2026-01-01T00:01:00Z,\N,sample-data,2026-01-01T00:01:00Z,1
1613cbce-5fa8-5acf-90ec-72aa2f629f94,945f204f-8a0b-5d85-842c-05aafebb966a,Catalog,product,5b524556-2840-5352-930a-3665399f88b1,sample/catalog/harbour-burger.jpg-r02,harbour-burger.jpg,image/jpeg,1024,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,800,600,ready,2026-01-01T00:00:00Z,2026-01-01T00:01:00Z,\N,sample-data,2026-01-01T00:01:00Z,1
2d0d786c-76f5-56f0-b1c8-f7bb93d0668e,945f204f-8a0b-5d85-842c-05aafebb966a,Catalog,product,2185c73f-9a70-5a46-accc-7acff93af0ae,sample/catalog/orchard-coffee.jpg-r02,orchard-coffee.jpg,image/jpeg,1024,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,800,600,ready,2026-01-01T00:00:00Z,2026-01-01T00:01:00Z,\N,sample-data,2026-01-01T00:01:00Z,1
e71b4942-f5ca-5138-a063-761fe72bf284,56a7e669-46f5-5118-a696-f2b6561f58ac,Catalog,product,8712d970-0129-5558-8212-9bafaf6b9bb6,sample/catalog/harbour-burger.jpg-r03,harbour-burger.jpg,image/jpeg,1024,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,800,600,ready,2026-01-01T00:00:00Z,2026-01-01T00:01:00Z,\N,sample-data,2026-01-01T00:01:00Z,1
6fef002d-7f34-5803-83ec-070a9225d59c,56a7e669-46f5-5118-a696-f2b6561f58ac,Catalog,product,f3e77a4e-a77c-56b7-ad36-79aa5284023c,sample/catalog/orchard-coffee.jpg-r03,orchard-coffee.jpg,image/jpeg,1024,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,800,600,ready,2026-01-01T00:00:00Z,2026-01-01T00:01:00Z,\N,sample-data,2026-01-01T00:01:00Z,1
d6637108-638f-5d3b-bdc2-9393813d4534,1cdb3803-079e-5438-a101-9d4d00dd4260,Catalog,product,ce15e28e-6590-5ee9-a5a6-1f0910b46e7f,sample/catalog/harbour-burger.jpg-r04,harbour-burger.jpg,image/jpeg,1024,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,800,600,ready,2026-01-01T00:00:00Z,2026-01-01T00:01:00Z,\N,sample-data,2026-01-01T00:01:00Z,1
cc58755f-39ab-53ce-85f6-351384a9094e,1cdb3803-079e-5438-a101-9d4d00dd4260,Catalog,product,9a724731-c0cc-5a1d-8c52-5e70ac52f5a6,sample/catalog/orchard-coffee.jpg-r04,orchard-coffee.jpg,image/jpeg,1024,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,800,600,ready,2026-01-01T00:00:00Z,2026-01-01T00:01:00Z,\N,sample-data,2026-01-01T00:01:00Z,1
