id,provider_code,settlement_reference,payment_intent_id,provider_transaction_id,settlement_date,gross_amount,fee_amount,net_amount,currency,status,details,created_at_utc,updated_at_utc
a2000000-0000-0000-0000-000000000004,sample_provider,sample-settlement-0001,a2000000-0000-0000-0000-000000000001,a2000000-0000-0000-0000-000000000002,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
6d0676fd-2a95-51ac-8371-64ad43e7041b,sample_provider,sample-settlement-0001-r01,cf0ec422-d896-54c5-8e1a-9d684ef72331,cebde790-f90e-505a-ae70-a6c3346aee84,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
ec1784c7-ed52-58c5-b525-cbad650fcb2b,sample_provider,sample-settlement-0001-r02,d1d28a90-b150-5e04-becf-f61edc95f762,883391c9-484d-51b4-8878-141c4c605163,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
d62b79d3-f669-5e9d-9299-9ba45271e614,sample_provider,sample-settlement-0001-r03,06e146a6-f2c5-5c44-811a-befe68e4b9a4,c74d74e6-817a-5334-8b57-cf4fba4aa748,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
8798c140-d28f-572c-a505-8a68ae919ab7,sample_provider,sample-settlement-0001-r04,94f14596-a44b-5aba-9198-79af8f9c6251,6e5ca610-f25b-5703-9c9b-4aca8c3f4c75,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
214c1939-2192-5394-9051-edb0c2f64111,sample_provider,sample-settlement-0001-r05,9d08639e-3c60-5ef5-9144-5733e9d8dcd5,8b5a816f-a942-5a0e-a615-191c0bdcb916,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
6c56744d-5ae5-5a92-883f-fb513915b503,sample_provider,sample-settlement-0001-r06,0c7f1285-e14d-525c-bb5f-23dceea64b14,cc3b07d1-a4cb-54b1-9ec8-13177d833c68,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
e84a5181-b12a-57c7-80aa-b66607b79405,sample_provider,sample-settlement-0001-r07,56b5aea1-da85-538c-be69-bc689f4ecade,81911633-a06c-5ef2-b345-df08ab53febf,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
145f2085-f737-5c95-a982-659cef58bd78,sample_provider,sample-settlement-0001-r08,1a112fb3-31cf-5e4d-ba60-1d0f8556bbaf,58a7d25a-2407-588c-8a5f-6ea69859f206,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
1ce71134-0d33-56d7-9859-9651a1b07475,sample_provider,sample-settlement-0001-r09,915636e3-06d4-54ab-82b9-bb2004d8357a,f58e7801-c62a-5916-9667-b9650dd19755,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
b7fa1f9e-779e-5c40-97bc-f59c8f0ce8d5,sample_provider,sample-settlement-0001-r10,31d4c54c-0ed7-51d1-b712-fd57bdaebe15,d2e147a5-ad51-5b34-981b-6856e80e9454,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
7f0976e1-199f-5874-9a2a-8b0053873662,sample_provider,sample-settlement-0001-r11,c0063488-8036-541a-92e4-7020ec17ab25,b978df8b-6583-5c7f-ace3-1921b217004c,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
83a832dd-0bf4-5c07-8e3a-cb0ad825b15e,sample_provider,sample-settlement-0001-r12,0855e5cf-8216-5da7-a05a-bbefa59ce85c,7338b657-1581-597e-8036-fad3bd763fc8,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
580caa92-fa9d-57b0-9fbf-ad5feb50a7da,sample_provider,sample-settlement-0001-r13,f8a85200-f9f0-54fe-9b69-dde186618ca8,a0ac7a56-a16b-59f3-b6f5-bafb9008cb8b,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
f30e6e0c-fc8a-5731-a1d4-31a627acd15c,sample_provider,sample-settlement-0001-r14,b9518db7-8298-5ad5-acbb-bcbb2aee353a,882d6cde-b1e6-578f-aadb-14ad1c42b547,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
87d51ea8-a5c3-57f6-9e0f-f6f8cf874de7,sample_provider,sample-settlement-0001-r15,81aeab72-7c0a-5714-9e34-e3f2c7b8082c,4de7dc03-36b6-5f83-8c67-05e0e7deba0b,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
4dcfd163-1708-5d63-ad89-8419317e4d4e,sample_provider,sample-settlement-0001-r16,4f126865-4eca-5d55-b715-efa1653e486b,306c1e5c-d3b6-5ac1-a95d-bafc92fcbe8f,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
1a3aa9ca-a468-57e7-9c4c-e8862e4e6ccd,sample_provider,sample-settlement-0001-r17,6db252f9-0e08-57b2-bc65-fd8b833118e8,aedf579d-44cd-5247-8c7a-ede274f2a219,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
2fcc3ad6-f250-5303-873d-f78d4b16da7b,sample_provider,sample-settlement-0001-r18,47a59cd7-852a-5178-a4be-5f592f31d4b3,e7e737aa-f1b9-56d4-ba8d-81f89d9b42d0,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
392b9881-d1c0-54fc-b7be-f6ac177f5a0d,sample_provider,sample-settlement-0001-r19,6f1f2614-b17a-599a-86ef-a268fead265a,f2940178-f530-5a10-b4c3-c0b27805f344,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
ea1a9176-adbb-58ac-a764-ae4e4565436e,sample_provider,sample-settlement-0001-r20,60ad80e1-fbbe-556d-bba2-832599b1dde4,1d8ccd27-499c-5f81-ae0c-8c5cc4199488,2026-01-02,19.5160,0.5000,19.0160,SGD,matched,"{""testMode"":true}",2026-01-02T00:00:00Z,2026-01-02T00:00:00Z
