id,restaurant_id,branch_id,order_id,idempotency_key,amount,currency,payment_method,status,expires_at_utc,authorized_at_utc,captured_at_utc,failed_at_utc,created_at_utc,updated_at_utc,concurrency_version
a2000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000002,0d000000-0000-0000-0000-000000000001,sample-payment-0001,19.5160,SGD,card,captured,\N,2026-01-01T12:20:00Z,2026-01-01T12:21:00Z,\N,2026-01-01T12:19:00Z,2026-01-01T12:21:00Z,1
cf0ec422-d896-54c5-8e1a-9d684ef72331,6e5493c8-856c-52d6-b23f-a9b8265b82a1,09bc7770-60a5-5937-9095-dddde233baed,1ac47f46-9b76-52e7-9710-a3270fdb6c0d,sample-payment-0001,19.5160,SGD,card,captured,\N,2026-01-01T12:20:00Z,2026-01-01T12:21:00Z,\N,2026-01-01T12:19:00Z,2026-01-01T12:21:00Z,1
d1d28a90-b150-5e04-becf-f61edc95f762,bb432b46-9db3-5087-86a6-667d8a5461d2,c2581768-52bb-5a5e-bb60-ea8630c0cc48,85924700-20f0-57e2-b29c-b6e2b159a606,sample-payment-0001,19.5160,SGD,card,captured,\N,2026-01-01T12:20:00Z,2026-01-01T12:21:00Z,\N,2026-01-01T12:19:00Z,2026-01-01T12:21:00Z,1
06e146a6-f2c5-5c44-811a-befe68e4b9a4,02893fb5-cd61-516d-a1c6-a31b633a8440,2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,dc99f6f9-706a-506f-bc05-40359b125d5c,sample-payment-0001,19.5160,SGD,card,captured,\N,2026-01-01T12:20:00Z,2026-01-01T12:21:00Z,\N,2026-01-01T12:19:00Z,2026-01-01T12:21:00Z,1
94f14596-a44b-5aba-9198-79af8f9c6251,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,c0a7cac5-1d51-54cc-8e20-d091007b9a5a,9256c8c8-680f-516d-bb84-8382ffd14af4,sample-payment-0001,19.5160,SGD,card,captured,\N,2026-01-01T12:20:00Z,2026-01-01T12:21:00Z,\N,2026-01-01T12:19:00Z,2026-01-01T12:21:00Z,1
9d08639e-3c60-5ef5-9144-5733e9d8dcd5,292495cc-29f1-532a-8347-61381793ace8,68c8496c-6b5f-5845-99d6-46d8d79afb1f,350a23ee-21a4-5eb7-9c80-119858f5e6f1,sample-payment-0001,19.5160,SGD,card,captured,\N,2026-01-01T12:20:00Z,2026-01-01T12:21:00Z,\N,2026-01-01T12:19:00Z,2026-01-01T12:21:00Z,1
0c7f1285-e14d-525c-bb5f-23dceea64b14,f336981e-6b07-55f6-8f3b-5bb68a996561,87111368-22a3-51ff-a055-d0af38899e40,1c04c73e-f11e-5d30-8569-603615419a07,sample-payment-0001,19.5160,SGD,card,captured,\N,2026-01-01T12:20:00Z,2026-01-01T12:21:00Z,\N,2026-01-01T12:19:00Z,2026-01-01T12:21:00Z,1
56b5aea1-da85-538c-be69-bc689f4ecade,5afbb73d-34da-5169-9cd6-3631b29d6906,6ac09be1-21da-5bdf-a553-0d370aa48a48,ecd8c9c4-f108-5631-8771-8012591a3342,sample-payment-0001,19.5160,SGD,card,captured,\N,2026-01-01T12:20:00Z,2026-01-01T12:21:00Z,\N,2026-01-01T12:19:00Z,2026-01-01T12:21:00Z,1
1a112fb3-31cf-5e4d-ba60-1d0f8556bbaf,95aa4d42-7203-5581-a314-7ba4ff85735b,075f1655-5713-5584-b153-7cee0f5edfb1,5f93610e-1295-57be-8f01-73c755b8a29b,sample-payment-0001,19.5160,SGD,card,captured,\N,2026-01-01T12:20:00Z,2026-01-01T12:21:00Z,\N,2026-01-01T12:19:00Z,2026-01-01T12:21:00Z,1
915636e3-06d4-54ab-82b9-bb2004d8357a,8550b566-c89f-5552-86ca-8f25b0b21d4d,0c99f45b-6fe6-5a1e-96fc-98333cca6f88,82ccac59-060b-5257-a765-69f8d1da1e62,sample-payment-0001,19.5160,SGD,card,captured,\N,2026-01-01T12:20:00Z,2026-01-01T12:21:00Z,\N,2026-01-01T12:19:00Z,2026-01-01T12:21:00Z,1
