id,payment_intent_id,provider_code,provider_transaction_id,transaction_type,amount,currency,status,sanitized_response,processed_at_utc,created_at_utc
a2000000-0000-0000-0000-000000000002,a2000000-0000-0000-0000-000000000001,sample_provider,sample-provider-txn-0001,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
cebde790-f90e-505a-ae70-a6c3346aee84,cf0ec422-d896-54c5-8e1a-9d684ef72331,sample_provider,sample-provider-txn-r01,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
883391c9-484d-51b4-8878-141c4c605163,d1d28a90-b150-5e04-becf-f61edc95f762,sample_provider,sample-provider-txn-r02,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
c74d74e6-817a-5334-8b57-cf4fba4aa748,06e146a6-f2c5-5c44-811a-befe68e4b9a4,sample_provider,sample-provider-txn-r03,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
6e5ca610-f25b-5703-9c9b-4aca8c3f4c75,94f14596-a44b-5aba-9198-79af8f9c6251,sample_provider,sample-provider-txn-r04,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
8b5a816f-a942-5a0e-a615-191c0bdcb916,9d08639e-3c60-5ef5-9144-5733e9d8dcd5,sample_provider,sample-provider-txn-r05,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
cc3b07d1-a4cb-54b1-9ec8-13177d833c68,0c7f1285-e14d-525c-bb5f-23dceea64b14,sample_provider,sample-provider-txn-r06,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
81911633-a06c-5ef2-b345-df08ab53febf,56b5aea1-da85-538c-be69-bc689f4ecade,sample_provider,sample-provider-txn-r07,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
58a7d25a-2407-588c-8a5f-6ea69859f206,1a112fb3-31cf-5e4d-ba60-1d0f8556bbaf,sample_provider,sample-provider-txn-r08,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
f58e7801-c62a-5916-9667-b9650dd19755,915636e3-06d4-54ab-82b9-bb2004d8357a,sample_provider,sample-provider-txn-r09,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
d2e147a5-ad51-5b34-981b-6856e80e9454,31d4c54c-0ed7-51d1-b712-fd57bdaebe15,sample_provider,sample-provider-txn-r10,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
b978df8b-6583-5c7f-ace3-1921b217004c,c0063488-8036-541a-92e4-7020ec17ab25,sample_provider,sample-provider-txn-r11,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
7338b657-1581-597e-8036-fad3bd763fc8,0855e5cf-8216-5da7-a05a-bbefa59ce85c,sample_provider,sample-provider-txn-r12,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
a0ac7a56-a16b-59f3-b6f5-bafb9008cb8b,f8a85200-f9f0-54fe-9b69-dde186618ca8,sample_provider,sample-provider-txn-r13,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
882d6cde-b1e6-578f-aadb-14ad1c42b547,b9518db7-8298-5ad5-acbb-bcbb2aee353a,sample_provider,sample-provider-txn-r14,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
4de7dc03-36b6-5f83-8c67-05e0e7deba0b,81aeab72-7c0a-5714-9e34-e3f2c7b8082c,sample_provider,sample-provider-txn-r15,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
306c1e5c-d3b6-5ac1-a95d-bafc92fcbe8f,4f126865-4eca-5d55-b715-efa1653e486b,sample_provider,sample-provider-txn-r16,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
aedf579d-44cd-5247-8c7a-ede274f2a219,6db252f9-0e08-57b2-bc65-fd8b833118e8,sample_provider,sample-provider-txn-r17,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
e7e737aa-f1b9-56d4-ba8d-81f89d9b42d0,47a59cd7-852a-5178-a4be-5f592f31d4b3,sample_provider,sample-provider-txn-r18,capture,19.5160,SGD,succeeded,"{""testMode"":true}",2026-01-01T12:21:00Z,2026-01-01T12:19:00Z
