id,kitchen_ticket_id,order_line_id,product_id,product_variant_id,item_name_snapshot,variant_name_snapshot,modifiers_snapshot,quantity,notes,status,queued_at_utc,started_at_utc,ready_at_utc,completed_at_utc,cancelled_at_utc,updated_at_utc,concurrency_version
a1000000-0000-0000-0000-000000000002,a1000000-0000-0000-0000-000000000001,0d000000-0000-0000-0000-000000000002,ca000000-0000-0000-0000-000000000301,\N,Harbour Burger,\N,"[{""name"":""Extra Cheese""}]",1.000,Fictional sample ticket,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:16:00Z,1
76fdbc92-3dcf-5083-92b9-9327b073c381,d9b914f3-19fe-5a67-aac3-59741aeb9b63,a593f0b5-8993-5ba4-85c3-93999ba3f1f3,83686fd2-1032-5473-a5e2-3a1b1c8d78c0,\N,Harbour Burger,\N,"[{""name"":""Extra Cheese""}]",1.000,Fictional sample ticket,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:16:00Z,1
693940cd-1795-51b4-8dce-b84706e8c35c,9eddd916-130e-537c-8c09-6dda163e1a9a,0d48819b-642f-5588-865f-0dbc6bbe955b,5b524556-2840-5352-930a-3665399f88b1,\N,Harbour Burger,\N,"[{""name"":""Extra Cheese""}]",1.000,Fictional sample ticket,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:16:00Z,1
5646346f-4834-50f9-b242-10cc3fd3437f,9b7cae47-90ca-569b-81d7-b4150798ce1b,999f5a59-3d14-5285-938d-463bede3c48c,8712d970-0129-5558-8212-9bafaf6b9bb6,\N,Harbour Burger,\N,"[{""name"":""Extra Cheese""}]",1.000,Fictional sample ticket,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:16:00Z,1
eb870fe7-1714-578c-8d06-f19910dcf6b2,ca2ce628-4a02-56b4-9c76-794e6a2dfb65,a200074a-e3a0-50f9-bd46-030062bce7c8,ce15e28e-6590-5ee9-a5a6-1f0910b46e7f,\N,Harbour Burger,\N,"[{""name"":""Extra Cheese""}]",1.000,Fictional sample ticket,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:16:00Z,1
b145d296-97d0-572e-994d-7642fa02b1f3,4b1432d5-66f8-5140-9ef0-8f696b8b6e73,6f16ad8c-5da6-5c04-856f-7e8d2e704a37,5aa1c0aa-c074-5aae-a3e6-ee3b9c0214a0,\N,Harbour Burger,\N,"[{""name"":""Extra Cheese""}]",1.000,Fictional sample ticket,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:16:00Z,1
cb242d67-be41-5be6-88ed-2c6205ace2ca,11c4237d-5c60-5ba0-82f7-224913643818,58b18c88-a62c-5dd3-91fd-ab853d56125c,c756216f-bd8b-59f6-b2f4-b443cc47a99f,\N,Harbour Burger,\N,"[{""name"":""Extra Cheese""}]",1.000,Fictional sample ticket,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:16:00Z,1
1b0e06ab-0a69-54d6-9b14-890e04388018,14f41e36-a20e-5fe9-9a37-9be5e7e3f0eb,e1b99fb7-bdb7-53d9-ab1b-f5f5f4e81aa1,2a1ef463-3feb-5b55-9cbe-ff8a287f6f33,\N,Harbour Burger,\N,"[{""name"":""Extra Cheese""}]",1.000,Fictional sample ticket,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:16:00Z,1
27b00784-f41a-5446-9ca4-9662e3cd6081,659c56bf-3a00-562a-bc25-7c31d2ed7d46,74e9db19-03a3-5e49-b016-44fd832f30d6,df05dee3-4125-5649-a6c0-fd9d82793f65,\N,Harbour Burger,\N,"[{""name"":""Extra Cheese""}]",1.000,Fictional sample ticket,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:16:00Z,1
395c1e1e-fa49-5e02-a6d0-052e25dbad21,ac9fdc6c-042d-5f86-b73c-a0ee31940ea6,8f47c7e2-02ff-5490-9a56-5249ac5881f0,4cb83726-bd49-5de9-bc9b-5ee9a9f13d33,\N,Harbour Burger,\N,"[{""name"":""Extra Cheese""}]",1.000,Fictional sample ticket,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:16:00Z,1
