id,source_message_id,order_id,order_line_id,adjustment_type,quantity_delta,instructions,received_at_utc,applied_at_utc,status
a1000000-0000-0000-0000-000000000004,a1000000-0000-0000-0000-000000000005,0d000000-0000-0000-0000-000000000001,0d000000-0000-0000-0000-000000000002,quantity_change,1.000,"{""sample"":true}",2026-01-01T12:01:00Z,2026-01-01T12:01:30Z,applied
2217b5cb-7fd7-543b-bff2-5e4d1dd02918,9d2b021e-b463-593a-9751-e6b2f240b752,1ac47f46-9b76-52e7-9710-a3270fdb6c0d,a593f0b5-8993-5ba4-85c3-93999ba3f1f3,quantity_change,1.000,"{""sample"":true}",2026-01-01T12:01:00Z,2026-01-01T12:01:30Z,applied
34f30d85-1914-5251-bb69-aef5d84ff48f,13fcba53-c197-5cdb-ac16-18469cff344a,85924700-20f0-57e2-b29c-b6e2b159a606,0d48819b-642f-5588-865f-0dbc6bbe955b,quantity_change,1.000,"{""sample"":true}",2026-01-01T12:01:00Z,2026-01-01T12:01:30Z,applied
0fedd678-d87a-5554-a333-1782933c4826,6ea0d2e0-6eb6-5120-98c1-1c18e55be51e,dc99f6f9-706a-506f-bc05-40359b125d5c,999f5a59-3d14-5285-938d-463bede3c48c,quantity_change,1.000,"{""sample"":true}",2026-01-01T12:01:00Z,2026-01-01T12:01:30Z,applied
54dcee93-4d26-5b07-85bb-4f202a3979c4,f437535d-82f5-5150-8a15-78b383f5bb78,9256c8c8-680f-516d-bb84-8382ffd14af4,a200074a-e3a0-50f9-bd46-030062bce7c8,quantity_change,1.000,"{""sample"":true}",2026-01-01T12:01:00Z,2026-01-01T12:01:30Z,applied
49871fa2-2d76-50bd-ac51-d26249f05f86,d17677b1-4a54-586d-a021-8d2bd791a580,350a23ee-21a4-5eb7-9c80-119858f5e6f1,6f16ad8c-5da6-5c04-856f-7e8d2e704a37,quantity_change,1.000,"{""sample"":true}",2026-01-01T12:01:00Z,2026-01-01T12:01:30Z,applied
ac883dec-0a02-5d04-a148-711a777b698b,ed09de31-c621-5107-92e8-bec9e26970e1,1c04c73e-f11e-5d30-8569-603615419a07,58b18c88-a62c-5dd3-91fd-ab853d56125c,quantity_change,1.000,"{""sample"":true}",2026-01-01T12:01:00Z,2026-01-01T12:01:30Z,applied
714e8e5a-074a-5fa9-a292-e71d14ceedac,f2c8cad9-2ec6-578b-b0a5-95d0782de299,ecd8c9c4-f108-5631-8771-8012591a3342,e1b99fb7-bdb7-53d9-ab1b-f5f5f4e81aa1,quantity_change,1.000,"{""sample"":true}",2026-01-01T12:01:00Z,2026-01-01T12:01:30Z,applied
87f9dcf2-e4ff-5841-aad7-dfa620c7a766,78549553-3766-5f87-9d4f-2874921b2ac8,5f93610e-1295-57be-8f01-73c755b8a29b,74e9db19-03a3-5e49-b016-44fd832f30d6,quantity_change,1.000,"{""sample"":true}",2026-01-01T12:01:00Z,2026-01-01T12:01:30Z,applied
2e209d90-ad8c-595e-b106-ea3a830582e6,611f4ef2-3d2b-5118-9d41-5e4a856ae872,82ccac59-060b-5257-a765-69f8d1da1e62,8f47c7e2-02ff-5490-9a56-5249ac5881f0,quantity_change,1.000,"{""sample"":true}",2026-01-01T12:01:00Z,2026-01-01T12:01:30Z,applied
981bcbea-362e-54a0-a905-a3438198a643,ddd268c2-7120-542b-8de5-edb44215aa3b,450dca80-f375-51db-9401-680b18119c56,6398393b-1a05-50cf-ac8c-7b01708fc119,quantity_change,1.000,"{""sample"":true}",2026-01-01T12:01:00Z,2026-01-01T12:01:30Z,applied
7fe86122-9693-5b20-82c5-20721aff4dc2,cc7ce605-1108-5914-816c-c8e20e3100ac,dd4b24fe-84b1-5666-8b71-c6f07650b798,07c21827-a5ec-55f2-add7-a2ec35aaf965,quantity_change,1.000,"{""sample"":true}",2026-01-01T12:01:00Z,2026-01-01T12:01:30Z,applied
