id,restaurant_id,branch_id,order_id,preparation_station_id,ticket_number,service_sequence,priority,status,queued_at_utc,started_at_utc,ready_at_utc,completed_at_utc,cancelled_at_utc,created_at_utc,updated_at_utc,concurrency_version
a1000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000002,0d000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000003,DEMO-KOT-0001,1,10,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:00:00Z,2026-01-01T12:16:00Z,1
d9b914f3-19fe-5a67-aac3-59741aeb9b63,6e5493c8-856c-52d6-b23f-a9b8265b82a1,09bc7770-60a5-5937-9095-dddde233baed,1ac47f46-9b76-52e7-9710-a3270fdb6c0d,71c30b71-ac96-5091-9412-cfe9f8a06f37,DEMO-KOT-0001,1,10,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:00:00Z,2026-01-01T12:16:00Z,1
9eddd916-130e-537c-8c09-6dda163e1a9a,bb432b46-9db3-5087-86a6-667d8a5461d2,c2581768-52bb-5a5e-bb60-ea8630c0cc48,85924700-20f0-57e2-b29c-b6e2b159a606,3d296e9d-0a6e-5458-ba5d-f375605f8052,DEMO-KOT-0001,1,10,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:00:00Z,2026-01-01T12:16:00Z,1
9b7cae47-90ca-569b-81d7-b4150798ce1b,02893fb5-cd61-516d-a1c6-a31b633a8440,2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,dc99f6f9-706a-506f-bc05-40359b125d5c,460f3759-9ab9-54d3-adc7-d7b498223c32,DEMO-KOT-0001,1,10,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:00:00Z,2026-01-01T12:16:00Z,1
ca2ce628-4a02-56b4-9c76-794e6a2dfb65,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,c0a7cac5-1d51-54cc-8e20-d091007b9a5a,9256c8c8-680f-516d-bb84-8382ffd14af4,426fde10-4dae-5c84-abc9-2e76f8b92c71,DEMO-KOT-0001,1,10,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:00:00Z,2026-01-01T12:16:00Z,1
4b1432d5-66f8-5140-9ef0-8f696b8b6e73,292495cc-29f1-532a-8347-61381793ace8,68c8496c-6b5f-5845-99d6-46d8d79afb1f,350a23ee-21a4-5eb7-9c80-119858f5e6f1,ae1ba148-3ef0-5f91-b041-d5d3d4bf25cd,DEMO-KOT-0001,1,10,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:00:00Z,2026-01-01T12:16:00Z,1
11c4237d-5c60-5ba0-82f7-224913643818,f336981e-6b07-55f6-8f3b-5bb68a996561,87111368-22a3-51ff-a055-d0af38899e40,1c04c73e-f11e-5d30-8569-603615419a07,0432a1fa-986e-584b-a6ba-8b04746a12cf,DEMO-KOT-0001,1,10,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:00:00Z,2026-01-01T12:16:00Z,1
14f41e36-a20e-5fe9-9a37-9be5e7e3f0eb,5afbb73d-34da-5169-9cd6-3631b29d6906,6ac09be1-21da-5bdf-a553-0d370aa48a48,ecd8c9c4-f108-5631-8771-8012591a3342,3f3391c4-7450-5028-9b69-734bda2d3c75,DEMO-KOT-0001,1,10,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:00:00Z,2026-01-01T12:16:00Z,1
659c56bf-3a00-562a-bc25-7c31d2ed7d46,95aa4d42-7203-5581-a314-7ba4ff85735b,075f1655-5713-5584-b153-7cee0f5edfb1,5f93610e-1295-57be-8f01-73c755b8a29b,41263552-deb9-5a7b-9df3-6ece5e723b86,DEMO-KOT-0001,1,10,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:00:00Z,2026-01-01T12:16:00Z,1
ac9fdc6c-042d-5f86-b73c-a0ee31940ea6,8550b566-c89f-5552-86ca-8f25b0b21d4d,0c99f45b-6fe6-5a1e-96fc-98333cca6f88,82ccac59-060b-5257-a765-69f8d1da1e62,c8299bee-aa1e-568e-a3c0-427d59ca553b,DEMO-KOT-0001,1,10,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:00:00Z,2026-01-01T12:16:00Z,1
f3a365e3-bf1d-5d10-8a35-69443423772d,d615a3b5-351d-5ed5-bb69-c4dcac36aa00,fa14de3c-59ba-5043-85cf-df1adc6ec579,450dca80-f375-51db-9401-680b18119c56,44a06706-2678-58ba-aaaf-bfa1ffdc0e7e,DEMO-KOT-0001,1,10,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:00:00Z,2026-01-01T12:16:00Z,1
e03c881f-72d1-53bb-a667-de7568519bc1,bb3ac671-6c2e-5416-acd7-85d71693d50e,d95ff0d0-166d-5c92-a350-c84753a190e6,dd4b24fe-84b1-5666-8b71-c6f07650b798,90bc9a58-5501-5954-99ee-ef9b3f01d9ae,DEMO-KOT-0001,1,10,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:00:00Z,2026-01-01T12:16:00Z,1
c97d7a54-60e5-5e2c-b339-0b8938010638,bfad71f3-0e54-5467-bb83-c8664b3d7bc3,4f8897d5-01d5-51cf-b731-c0c00a95f276,09634954-2342-52ba-9a0c-3a3b3306314e,4cee666b-ed13-54c3-964c-b82307c494c8,DEMO-KOT-0001,1,10,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:00:00Z,2026-01-01T12:16:00Z,1
3e7b5d0f-5be5-58b4-a870-081333e6c0c8,104f9e79-e136-5ed4-a852-64d160340e45,667d8806-3545-519a-b50d-53f59e32b5de,c9e72080-d5fc-5e91-b66a-01ba01d17273,98294cb9-7730-5664-8535-35fa8b99907b,DEMO-KOT-0001,1,10,completed,2026-01-01T12:00:00Z,2026-01-01T12:02:00Z,2026-01-01T12:15:00Z,2026-01-01T12:16:00Z,\N,2026-01-01T12:00:00Z,2026-01-01T12:16:00Z,1
