id,kitchen_ticket_id,kitchen_ticket_item_id,entity_type,from_status,to_status,reason_code,changed_at_utc,changed_by
a1000000-0000-0000-0000-000000000003,a1000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
616d602b-f695-569b-8de7-2eadfd0100fe,d9b914f3-19fe-5a67-aac3-59741aeb9b63,76fdbc92-3dcf-5083-92b9-9327b073c381,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
40ff64cb-dbe6-5baa-b6d7-380f43aa8877,9eddd916-130e-537c-8c09-6dda163e1a9a,693940cd-1795-51b4-8dce-b84706e8c35c,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
9aab5420-43d6-5e1f-88ac-e851282bb8a1,9b7cae47-90ca-569b-81d7-b4150798ce1b,5646346f-4834-50f9-b242-10cc3fd3437f,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
f6de6212-1741-5a01-9094-b3b4f31b97d0,ca2ce628-4a02-56b4-9c76-794e6a2dfb65,eb870fe7-1714-578c-8d06-f19910dcf6b2,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
ab719ae8-94d3-5374-9b76-92455f1c7c7e,4b1432d5-66f8-5140-9ef0-8f696b8b6e73,b145d296-97d0-572e-994d-7642fa02b1f3,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
ccb1a372-9ea0-56d0-9919-7d2a019fa6fb,11c4237d-5c60-5ba0-82f7-224913643818,cb242d67-be41-5be6-88ed-2c6205ace2ca,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
0e986ca5-2704-5e6a-9e95-560d45a504a3,14f41e36-a20e-5fe9-9a37-9be5e7e3f0eb,1b0e06ab-0a69-54d6-9b14-890e04388018,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
9906f743-c250-57cd-9342-813cf17aa608,659c56bf-3a00-562a-bc25-7c31d2ed7d46,27b00784-f41a-5446-9ca4-9662e3cd6081,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
45db7acd-28b5-5a16-a1ca-6b20b0c2808d,ac9fdc6c-042d-5f86-b73c-a0ee31940ea6,395c1e1e-fa49-5e02-a6d0-052e25dbad21,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
d20df7f3-3348-5dcb-9655-9101be10afc8,f3a365e3-bf1d-5d10-8a35-69443423772d,96ce6778-2c39-5bc0-a508-702a4967083a,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
2161bb92-a1c8-53e8-82d4-beb5b2ed625c,e03c881f-72d1-53bb-a667-de7568519bc1,ea1b6688-af54-5661-842d-9866129e1f0f,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
d65cc7bf-6a97-53d9-938a-37a53610b202,c97d7a54-60e5-5e2c-b339-0b8938010638,2f4c3856-c002-5dac-a6a9-2ec4173aec16,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
4a9dd17f-2722-51de-be72-30312402775b,3e7b5d0f-5be5-58b4-a870-081333e6c0c8,091ce334-151e-5736-ab60-abf5a1c01a74,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
8d9eeebf-0f3f-5afa-abae-5e5c0806deaa,e88a402d-b0a2-533b-9257-d8b9877313b9,44c32c7f-e53e-5461-ae90-5d363e078b96,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
fdce5b24-9bf8-5200-9548-7919010a205e,1b7ed059-d8d4-55e3-9edc-ecc66bf09c9b,05d696d5-2f9a-599d-8639-e886a8a59d40,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
349c3882-d197-5d27-820d-b3a5a2fe913e,6dae9265-dc8f-5990-a983-cf15be269ba9,503fb343-8cf5-5883-99a2-79ebb77efb2e,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
fbc6cba9-26ea-5adc-aebf-0a0c4373b8d5,cb6931fc-56f8-5e16-ae64-f88489b21858,330e705f-eb5d-5d77-913d-9c7b6f3a6892,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
96890f79-6c5c-542d-8543-b7cbd3ce40d4,367cc34c-7a3a-57cb-bdde-0e2025cfb4d3,c2d82686-2b87-5816-a8df-4d716f28d44a,item,ready,completed,\N,2026-01-01T12:16:00Z,sample-data
