id,terminal_id,client_operation_id,operation_type,payload_hash,status,response_status,response_reference_id,error_code,received_at_utc,completed_at_utc
a3000000-0000-0000-0000-000000000006,a3000000-0000-0000-0000-000000000002,0d000000-0000-0000-0000-000000000005,create_order,sample-hash-0001,completed,201,0d000000-0000-0000-0000-000000000001,\N,2026-01-01T11:55:00Z,2026-01-01T11:55:01Z
8d671c93-4d03-502d-848f-5c51458f09b3,93169812-f2e2-5aaf-a9dd-3147f9bc6851,265676a5-0f66-5716-9b64-018dd19be00c,create_order,sample-hash-0001,completed,201,1ac47f46-9b76-52e7-9710-a3270fdb6c0d,\N,2026-01-01T11:55:00Z,2026-01-01T11:55:01Z
6913b402-81af-5aec-b084-8738ffe5465d,9cb4b6a3-0d39-585c-98cd-63c386351d04,ecefbbe0-31e8-56b7-b03e-ceb9f9e8e064,create_order,sample-hash-0001,completed,201,85924700-20f0-57e2-b29c-b6e2b159a606,\N,2026-01-01T11:55:00Z,2026-01-01T11:55:01Z
bafc2949-e3d4-5679-99d4-55c4a8702f49,f642df17-eed8-5540-ab47-18c9b21cbe81,131e3cbf-e170-5c80-9f19-7e245447e7d2,create_order,sample-hash-0001,completed,201,dc99f6f9-706a-506f-bc05-40359b125d5c,\N,2026-01-01T11:55:00Z,2026-01-01T11:55:01Z
fc7cc075-ce8b-5b02-892c-0f62338418a4,e49a40b0-a7ac-522a-8965-2e50afd6b6b4,ea7fe822-c1f6-5592-b5d5-dfa3470eb459,create_order,sample-hash-0001,completed,201,9256c8c8-680f-516d-bb84-8382ffd14af4,\N,2026-01-01T11:55:00Z,2026-01-01T11:55:01Z
6f0e4420-b6da-52f1-8efa-7905e45c5886,409f2746-194d-55f3-b954-9756439ec21c,527f813a-9792-5ff6-a25e-244c4e90f891,create_order,sample-hash-0001,completed,201,350a23ee-21a4-5eb7-9c80-119858f5e6f1,\N,2026-01-01T11:55:00Z,2026-01-01T11:55:01Z
c570fd98-d2dd-56fc-b1a4-bd2bc2cb7050,861c9702-e61d-53c5-90fe-2581fdd6a93b,643f6a78-d08a-5f2e-bbca-3358a977c645,create_order,sample-hash-0001,completed,201,1c04c73e-f11e-5d30-8569-603615419a07,\N,2026-01-01T11:55:00Z,2026-01-01T11:55:01Z
8a667461-955c-5dce-bebf-cefd85dc8a3b,61f876d7-1e3e-5d6d-af00-c790460a3cd9,6aa2f26c-0d90-57ce-a913-bce961601007,create_order,sample-hash-0001,completed,201,ecd8c9c4-f108-5631-8771-8012591a3342,\N,2026-01-01T11:55:00Z,2026-01-01T11:55:01Z
e6e322a8-d926-5075-9e8d-16532221fb2d,a7596b1d-4f74-563f-9645-e2328437cbb0,b61a8a0c-8c52-55cf-81f8-6c6345cc5db7,create_order,sample-hash-0001,completed,201,5f93610e-1295-57be-8f01-73c755b8a29b,\N,2026-01-01T11:55:00Z,2026-01-01T11:55:01Z
ce8b2c83-99ac-54af-923c-a263cd111c02,cb2ca33d-7c9a-5e14-a2b5-31d698ed9a60,e4b2e35d-f2b2-5e1b-9dce-aa2b38a39857,create_order,sample-hash-0001,completed,201,82ccac59-060b-5257-a765-69f8d1da1e62,\N,2026-01-01T11:55:00Z,2026-01-01T11:55:01Z
246cfc8e-058a-5a5f-8ac1-4ebfb0afa7ad,7c721358-40f2-53fe-aa74-5e44e9a4aeec,3e402c46-1d9c-5fd6-a99f-617277406dc1,create_order,sample-hash-0001,completed,201,450dca80-f375-51db-9401-680b18119c56,\N,2026-01-01T11:55:00Z,2026-01-01T11:55:01Z
