id,restaurant_id,branch_id,code,name,operational_status,configuration,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
a3000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000002,marina_store,Marina POS Store,active,"{""offlineMode"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
23796def-a5d9-5ac6-8f1d-6b184d952f1e,6e5493c8-856c-52d6-b23f-a9b8265b82a1,09bc7770-60a5-5937-9095-dddde233baed,marina_store,Marina POS Store,active,"{""offlineMode"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
6be94946-b57c-5896-ba04-fa03cc704a2a,bb432b46-9db3-5087-86a6-667d8a5461d2,c2581768-52bb-5a5e-bb60-ea8630c0cc48,marina_store,Marina POS Store,active,"{""offlineMode"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
9d6ad04f-59da-5e3d-bc53-7dbeed115d21,02893fb5-cd61-516d-a1c6-a31b633a8440,2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,marina_store,Marina POS Store,active,"{""offlineMode"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
5bbec8f8-e245-5475-94e0-98152035b8c1,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,c0a7cac5-1d51-54cc-8e20-d091007b9a5a,marina_store,Marina POS Store,active,"{""offlineMode"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
c0f8ec1e-0dc0-5e00-83ba-de06cb054fa2,292495cc-29f1-532a-8347-61381793ace8,68c8496c-6b5f-5845-99d6-46d8d79afb1f,marina_store,Marina POS Store,active,"{""offlineMode"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
8fe4ca6c-5bb9-5e87-8f01-b9a580949231,f336981e-6b07-55f6-8f3b-5bb68a996561,87111368-22a3-51ff-a055-d0af38899e40,marina_store,Marina POS Store,active,"{""offlineMode"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
0a82d65f-cd0d-5bc6-be0c-3561842a2a7a,5afbb73d-34da-5169-9cd6-3631b29d6906,6ac09be1-21da-5bdf-a553-0d370aa48a48,marina_store,Marina POS Store,active,"{""offlineMode"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
749c9123-8a65-57c9-b232-b400ea62e015,95aa4d42-7203-5581-a314-7ba4ff85735b,075f1655-5713-5584-b153-7cee0f5edfb1,marina_store,Marina POS Store,active,"{""offlineMode"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
584a437f-77f1-58a6-a809-402e5a8f32cd,8550b566-c89f-5552-86ca-8f25b0b21d4d,0c99f45b-6fe6-5a1e-96fc-98333cca6f88,marina_store,Marina POS Store,active,"{""offlineMode"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
