id,store_id,terminal_id,employee_identity_subject_id,shift_number,status,opened_at_utc,closed_at_utc,opened_by,closed_by,created_at_utc,updated_at_utc,concurrency_version
a3000000-0000-0000-0000-000000000003,a3000000-0000-0000-0000-000000000001,a3000000-0000-0000-0000-000000000002,sample-user-001,DEMO-SHIFT-0001,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,sample-user-001,sample-user-001,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
e50922a8-9840-5fde-81a4-2b897aae7962,23796def-a5d9-5ac6-8f1d-6b184d952f1e,93169812-f2e2-5aaf-a9dd-3147f9bc6851,sample-user-001,DEMO-SHIFT-0001,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,sample-user-001,sample-user-001,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
a0e11fbf-e888-5b0c-b41a-e2c3803dcd66,6be94946-b57c-5896-ba04-fa03cc704a2a,9cb4b6a3-0d39-585c-98cd-63c386351d04,sample-user-001,DEMO-SHIFT-0001,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,sample-user-001,sample-user-001,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
71250264-edc1-548c-a612-39631edde8b5,9d6ad04f-59da-5e3d-bc53-7dbeed115d21,f642df17-eed8-5540-ab47-18c9b21cbe81,sample-user-001,DEMO-SHIFT-0001,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,sample-user-001,sample-user-001,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
42212311-fe89-5efe-85ac-692ec4c772e5,5bbec8f8-e245-5475-94e0-98152035b8c1,e49a40b0-a7ac-522a-8965-2e50afd6b6b4,sample-user-001,DEMO-SHIFT-0001,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,sample-user-001,sample-user-001,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
6866dcf0-0826-5033-931d-994e95f3b6c8,c0f8ec1e-0dc0-5e00-83ba-de06cb054fa2,409f2746-194d-55f3-b954-9756439ec21c,sample-user-001,DEMO-SHIFT-0001,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,sample-user-001,sample-user-001,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
0033216a-a62b-5fc4-a3b4-f64c44025683,8fe4ca6c-5bb9-5e87-8f01-b9a580949231,861c9702-e61d-53c5-90fe-2581fdd6a93b,sample-user-001,DEMO-SHIFT-0001,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,sample-user-001,sample-user-001,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
01a4614b-60a4-556d-a69d-f1810c3d924b,0a82d65f-cd0d-5bc6-be0c-3561842a2a7a,61f876d7-1e3e-5d6d-af00-c790460a3cd9,sample-user-001,DEMO-SHIFT-0001,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,sample-user-001,sample-user-001,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
c54dfe76-16c4-5e6a-80cd-2c9a84659200,749c9123-8a65-57c9-b232-b400ea62e015,a7596b1d-4f74-563f-9645-e2328437cbb0,sample-user-001,DEMO-SHIFT-0001,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,sample-user-001,sample-user-001,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
cfe4bd8d-2112-5670-99e8-ef3e347ebda3,584a437f-77f1-58a6-a809-402e5a8f32cd,cb2ca33d-7c9a-5e14-a2b5-31d698ed9a60,sample-user-001,DEMO-SHIFT-0001,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,sample-user-001,sample-user-001,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
