id,store_id,shift_id,currency,opening_amount,expected_closing_amount,actual_closing_amount,variance_amount,status,opened_at_utc,closed_at_utc,created_at_utc,updated_at_utc,concurrency_version
a3000000-0000-0000-0000-000000000004,a3000000-0000-0000-0000-000000000001,a3000000-0000-0000-0000-000000000003,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
7adb4974-0176-5bc6-afb5-4c49d8cad276,23796def-a5d9-5ac6-8f1d-6b184d952f1e,e50922a8-9840-5fde-81a4-2b897aae7962,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
a6ea1c4c-a9f0-5ce8-b912-06e709838d07,6be94946-b57c-5896-ba04-fa03cc704a2a,a0e11fbf-e888-5b0c-b41a-e2c3803dcd66,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
7eb62646-582b-5342-a608-fa12d00503d7,9d6ad04f-59da-5e3d-bc53-7dbeed115d21,71250264-edc1-548c-a612-39631edde8b5,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
982d19e8-958b-5d7c-8ace-c4ec794c10e0,5bbec8f8-e245-5475-94e0-98152035b8c1,42212311-fe89-5efe-85ac-692ec4c772e5,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
a3e79512-ebba-5c27-9303-039be64d8832,c0f8ec1e-0dc0-5e00-83ba-de06cb054fa2,6866dcf0-0826-5033-931d-994e95f3b6c8,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
2639e1a1-675d-5496-94ba-761513e4c5bb,8fe4ca6c-5bb9-5e87-8f01-b9a580949231,0033216a-a62b-5fc4-a3b4-f64c44025683,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
b0cc4b62-b276-5216-9a21-62a1ceea88fb,0a82d65f-cd0d-5bc6-be0c-3561842a2a7a,01a4614b-60a4-556d-a69d-f1810c3d924b,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
895a9ad1-a453-5bca-ac84-380c818ec447,749c9123-8a65-57c9-b232-b400ea62e015,c54dfe76-16c4-5e6a-80cd-2c9a84659200,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
532b1e56-fd14-536d-bbcc-32ab5f93a304,584a437f-77f1-58a6-a809-402e5a8f32cd,cfe4bd8d-2112-5670-99e8-ef3e347ebda3,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
c124711b-d40c-5fc8-b8a7-34e5182769cb,0084e2d3-f3c5-533a-978a-85bd17e54fdd,e81af0c8-1844-5809-a353-0be09aee60fc,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
b42f0d3d-ed65-5e7a-841b-adddc556a18c,e2b1e144-487e-59a5-9b31-79d39f7fd007,54f08356-3ad3-5eb9-afd1-4abf55bc74a7,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
8f55bc37-4e30-592d-ae45-ca8800660d77,f4312d26-746c-5fc4-9f33-d2e6ed6972a0,5b66fb27-3234-5004-a2ef-73df6202b1d9,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
8bb4371c-750e-5e06-ad1c-7144ce5f1d7f,c70c6c46-9ed9-5b71-9b03-a4658d806b3e,f7944d0a-b386-5e47-b4c1-6b58338a898b,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
09063bb5-49b5-5113-8640-7dd5ddd8d708,b0d760e9-b86b-5b23-a7ac-02006fe6308b,eaee3e96-c5a0-5643-a752-750e71c28cc9,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
454c3c85-bbed-5a85-be6e-3e3734d4379b,3fb32ebf-af8a-5d3e-8051-d1e1320e8c43,06feafc5-e8ad-5db6-bb27-dd9e40432abe,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
0bf0d720-f623-5264-b0a8-34648b24cdb6,9dedaf5c-1a11-5cf0-ba8f-266fbaf5cea6,ae74e0ad-b7da-5d04-b9d9-fffe512e0a71,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
78b39e86-afab-532c-8091-6deafb0ceb8b,3f0515a3-c07d-53f9-80b9-b3b8e0ef460d,f2bbf4b7-19f9-5a0e-ae42-1c41a35527fd,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
9e584dba-5ec3-53f6-828e-287b49f22df4,0d49dc60-1454-5bc5-8f79-6c4e86b1f089,77bd2065-b567-52d3-b23a-af40bcdc2f0f,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
1940c540-88ee-58ee-b311-caf5a81be9e0,b33f8e32-3867-59fe-9b97-47191a5ffd7f,c3c732a0-387d-510b-ac87-cd267521fcb2,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
fc722954-3c54-562e-ba35-f23107febe1e,a37e6e1e-a7f2-59d9-957e-d834f8c6cc00,54e9db39-001c-5fbb-afc3-0d09711b6528,SGD,100.0000,119.5160,119.5160,0.0000,closed,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,2026-01-01T08:00:00Z,2026-01-01T16:00:00Z,1
