id,restaurant_id,store_id,code,device_type,registration_status,registered_at_utc,revoked_at_utc,last_seen_at_utc,last_sync_at_utc,configuration,created_at_utc,updated_at_utc,concurrency_version
a3000000-0000-0000-0000-000000000002,ca000000-0000-0000-0000-000000000001,a3000000-0000-0000-0000-000000000001,pos_01,pos,active,2026-01-01T00:00:00Z,\N,2026-01-01T12:30:00Z,2026-01-01T12:30:00Z,"{""testMode"":true}",2026-01-01T00:00:00Z,2026-01-01T12:30:00Z,1
93169812-f2e2-5aaf-a9dd-3147f9bc6851,6e5493c8-856c-52d6-b23f-a9b8265b82a1,23796def-a5d9-5ac6-8f1d-6b184d952f1e,pos_01,pos,active,2026-01-01T00:00:00Z,\N,2026-01-01T12:30:00Z,2026-01-01T12:30:00Z,"{""testMode"":true}",2026-01-01T00:00:00Z,2026-01-01T12:30:00Z,1
9cb4b6a3-0d39-585c-98cd-63c386351d04,bb432b46-9db3-5087-86a6-667d8a5461d2,6be94946-b57c-5896-ba04-fa03cc704a2a,pos_01,pos,active,2026-01-01T00:00:00Z,\N,2026-01-01T12:30:00Z,2026-01-01T12:30:00Z,"{""testMode"":true}",2026-01-01T00:00:00Z,2026-01-01T12:30:00Z,1
f642df17-eed8-5540-ab47-18c9b21cbe81,02893fb5-cd61-516d-a1c6-a31b633a8440,9d6ad04f-59da-5e3d-bc53-7dbeed115d21,pos_01,pos,active,2026-01-01T00:00:00Z,\N,2026-01-01T12:30:00Z,2026-01-01T12:30:00Z,"{""testMode"":true}",2026-01-01T00:00:00Z,2026-01-01T12:30:00Z,1
e49a40b0-a7ac-522a-8965-2e50afd6b6b4,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,5bbec8f8-e245-5475-94e0-98152035b8c1,pos_01,pos,active,2026-01-01T00:00:00Z,\N,2026-01-01T12:30:00Z,2026-01-01T12:30:00Z,"{""testMode"":true}",2026-01-01T00:00:00Z,2026-01-01T12:30:00Z,1
409f2746-194d-55f3-b954-9756439ec21c,292495cc-29f1-532a-8347-61381793ace8,c0f8ec1e-0dc0-5e00-83ba-de06cb054fa2,pos_01,pos,active,2026-01-01T00:00:00Z,\N,2026-01-01T12:30:00Z,2026-01-01T12:30:00Z,"{""testMode"":true}",2026-01-01T00:00:00Z,2026-01-01T12:30:00Z,1
861c9702-e61d-53c5-90fe-2581fdd6a93b,f336981e-6b07-55f6-8f3b-5bb68a996561,8fe4ca6c-5bb9-5e87-8f01-b9a580949231,pos_01,pos,active,2026-01-01T00:00:00Z,\N,2026-01-01T12:30:00Z,2026-01-01T12:30:00Z,"{""testMode"":true}",2026-01-01T00:00:00Z,2026-01-01T12:30:00Z,1
61f876d7-1e3e-5d6d-af00-c790460a3cd9,5afbb73d-34da-5169-9cd6-3631b29d6906,0a82d65f-cd0d-5bc6-be0c-3561842a2a7a,pos_01,pos,active,2026-01-01T00:00:00Z,\N,2026-01-01T12:30:00Z,2026-01-01T12:30:00Z,"{""testMode"":true}",2026-01-01T00:00:00Z,2026-01-01T12:30:00Z,1
a7596b1d-4f74-563f-9645-e2328437cbb0,95aa4d42-7203-5581-a314-7ba4ff85735b,749c9123-8a65-57c9-b232-b400ea62e015,pos_01,pos,active,2026-01-01T00:00:00Z,\N,2026-01-01T12:30:00Z,2026-01-01T12:30:00Z,"{""testMode"":true}",2026-01-01T00:00:00Z,2026-01-01T12:30:00Z,1
cb2ca33d-7c9a-5e14-a2b5-31d698ed9a60,8550b566-c89f-5552-86ca-8f25b0b21d4d,584a437f-77f1-58a6-a809-402e5a8f32cd,pos_01,pos,active,2026-01-01T00:00:00Z,\N,2026-01-01T12:30:00Z,2026-01-01T12:30:00Z,"{""testMode"":true}",2026-01-01T00:00:00Z,2026-01-01T12:30:00Z,1
