order_id,terminal_id,device_id,dining_table_id,employee_identity_subject_id,client_operation_id,collection_number,context
0d000000-0000-0000-0000-000000000001,a3000000-0000-0000-0000-000000000002,\N,ca000000-0000-0000-0000-000000000011,sample-user-001,0d000000-0000-0000-0000-000000000005,D001,"{""fictional"":true}"
1ac47f46-9b76-52e7-9710-a3270fdb6c0d,93169812-f2e2-5aaf-a9dd-3147f9bc6851,\N,11c67212-cf9a-5928-b66e-6516596845a6,sample-user-001,265676a5-0f66-5716-9b64-018dd19be00c,D001,"{""fictional"":true}"
85924700-20f0-57e2-b29c-b6e2b159a606,9cb4b6a3-0d39-585c-98cd-63c386351d04,\N,721e5822-e410-5218-ba61-9b465c9ec26d,sample-user-001,ecefbbe0-31e8-56b7-b03e-ceb9f9e8e064,D001,"{""fictional"":true}"
dc99f6f9-706a-506f-bc05-40359b125d5c,f642df17-eed8-5540-ab47-18c9b21cbe81,\N,9a62e06a-1c2a-526d-a85d-27526a50eadb,sample-user-001,131e3cbf-e170-5c80-9f19-7e245447e7d2,D001,"{""fictional"":true}"
9256c8c8-680f-516d-bb84-8382ffd14af4,e49a40b0-a7ac-522a-8965-2e50afd6b6b4,\N,229633be-d3b6-5adc-860f-b886a47cf822,sample-user-001,ea7fe822-c1f6-5592-b5d5-dfa3470eb459,D001,"{""fictional"":true}"
350a23ee-21a4-5eb7-9c80-119858f5e6f1,409f2746-194d-55f3-b954-9756439ec21c,\N,a50866b8-ca33-531b-ab32-19eca0142688,sample-user-001,527f813a-9792-5ff6-a25e-244c4e90f891,D001,"{""fictional"":true}"
1c04c73e-f11e-5d30-8569-603615419a07,861c9702-e61d-53c5-90fe-2581fdd6a93b,\N,3ca684a8-93b6-5697-b759-333d01e7400d,sample-user-001,643f6a78-d08a-5f2e-bbca-3358a977c645,D001,"{""fictional"":true}"
ecd8c9c4-f108-5631-8771-8012591a3342,61f876d7-1e3e-5d6d-af00-c790460a3cd9,\N,43587c52-2080-513d-99ea-b0160f9ce626,sample-user-001,6aa2f26c-0d90-57ce-a913-bce961601007,D001,"{""fictional"":true}"
5f93610e-1295-57be-8f01-73c755b8a29b,a7596b1d-4f74-563f-9645-e2328437cbb0,\N,491612bc-63e8-5db0-bce3-d022a5effa46,sample-user-001,b61a8a0c-8c52-55cf-81f8-6c6345cc5db7,D001,"{""fictional"":true}"
82ccac59-060b-5257-a765-69f8d1da1e62,cb2ca33d-7c9a-5e14-a2b5-31d698ed9a60,\N,9d3248f5-4dd5-56a2-a6dd-bc8a5e7f0973,sample-user-001,e4b2e35d-f2b2-5e1b-9dce-aa2b38a39857,D001,"{""fictional"":true}"
450dca80-f375-51db-9401-680b18119c56,7c721358-40f2-53fe-aa74-5e44e9a4aeec,\N,168697d1-3c47-53dc-9e39-42a88347a913,sample-user-001,3e402c46-1d9c-5fd6-a99f-617277406dc1,D001,"{""fictional"":true}"
dd4b24fe-84b1-5666-8b71-c6f07650b798,a50eb5ff-5d37-5215-81de-5851f1f5c5fa,\N,667ae1ff-51b0-54f4-82dd-2e7b14635f27,sample-user-001,df89520b-fdd6-57a6-b760-228664446a41,D001,"{""fictional"":true}"
09634954-2342-52ba-9a0c-3a3b3306314e,e3204688-240a-54ec-8a74-405e019d12d4,\N,bf13c869-b82a-569b-ab71-18462b8fd2bb,sample-user-001,9bf2834a-9f9d-55ce-9a71-743ae074e890,D001,"{""fictional"":true}"
c9e72080-d5fc-5e91-b66a-01ba01d17273,bfab3b53-a1df-5997-80ae-78165f29846c,\N,3bf1e919-221a-5272-964a-af77dee1e6a9,sample-user-001,60cd4231-c94b-5c40-b427-df45e1eb96ab,D001,"{""fictional"":true}"
8739b75a-661c-5cd6-8d13-75d8b1d9ccb7,cd291c8d-0dfc-5b56-b490-9e1fad538191,\N,aa7ee21b-3de0-5322-850c-ef3394e59c2f,sample-user-001,cb82eb47-d069-59e5-bd49-4cd7fe22e52b,D001,"{""fictional"":true}"
adb41fc7-e7d6-533e-b4db-aeeb5f280461,a4fa370b-bb1e-5ca4-a598-8ab38d3aa123,\N,ef07db22-dd8d-5133-a44a-248b01118be7,sample-user-001,17db36b8-923a-5fc7-9782-ede607a2261a,D001,"{""fictional"":true}"
917b8fdf-f7f4-5a42-af5f-ce6870ce3ce2,5fba96f9-47d5-5608-9904-9ef85c8f2bdf,\N,4a7dbaab-89ad-5012-bc0f-cd4839f66b06,sample-user-001,3e1fbb33-ba2d-5614-9d45-4f8b2b79d504,D001,"{""fictional"":true}"
aa1f0c86-0128-5242-9569-2ed5aa67aefc,61703e60-3ba6-54d2-b8c5-c1471f3b24bc,\N,f0086383-366b-5344-b893-894b50dcc523,sample-user-001,250aec53-f817-5ab1-956a-d35246e254c7,D001,"{""fictional"":true}"
78cefe97-766f-54d0-967b-6d1f2db51f88,f1a025dc-298c-5281-b64a-425b8878c910,\N,13a20abe-90f2-5fc4-8383-cb1c49a158f0,sample-user-001,7f5d2794-e1e1-533b-a3f4-4f8d9a690780,D001,"{""fictional"":true}"
c987aa17-b646-5efa-9b4a-7a676ccc4c21,03982eeb-42c8-5f39-a64e-60d1f38ca6d6,\N,3ed093ce-53d1-59ea-ba31-c23ca6911d80,sample-user-001,f863c6e6-22bf-57dc-a9f1-510722ce0835,D001,"{""fictional"":true}"
09f7a746-3556-5328-81ed-f7f895569d48,1df58e3a-d9b9-5a97-8dff-ec13f87c0a19,\N,034dc924-9343-588a-84e0-894b049cf41f,sample-user-001,cb2bfa5c-2a3d-5bf3-b390-eb578de0b514,D001,"{""fictional"":true}"
8e733609-455b-569f-9907-ddfadbbedf9b,9d11d879-5b94-5959-8a89-dd5274476a2c,\N,b5d4113d-772c-5b54-b7dd-178d55d31177,sample-user-001,29ca5789-c51b-55a2-8da0-b3638c88bd6b,D001,"{""fictional"":true}"
40f114ce-9664-5538-b6d6-b44eca862dd4,d13d67cf-2efe-5cd2-9978-b5dba847fd1c,\N,fc63f085-d2c0-5b3e-a1e1-538ba2734518,sample-user-001,e50f6793-cbbe-5295-9178-32d6d8e4a919,D001,"{""fictional"":true}"
4cf48f5b-603c-5720-a5d0-fa6697541c9f,329e97f5-0be5-53d6-b583-b963681c62b3,\N,016ab804-14db-5130-9634-ccc45b063104,sample-user-001,cb57e334-db49-515a-9ec6-5f43462e3573,D001,"{""fictional"":true}"
ecd2ab1a-0622-51f1-8043-b19262a7addb,8ac9d97e-2486-5630-9e30-18e96afb9598,\N,b8e7f69c-05f1-56e7-9aad-b93407363a0e,sample-user-001,c377b6e4-ca1e-585d-b471-81ba36d7d25e,D001,"{""fictional"":true}"
b2276c59-956d-5c13-8003-3ada140a55d8,9691370c-7623-5e74-96b4-05f06174ce60,\N,f3bd4670-1cfe-5034-b074-315c03716f84,sample-user-001,209dc520-ebe4-596d-b4c3-b5fd6e128138,D001,"{""fictional"":true}"
5dd81f68-b2c1-5c5b-b1d4-f73ee721d116,6fc30bf3-b0e7-5be5-b528-cf48b89c72de,\N,bebd515e-51ce-5caf-b49f-b2630106b9af,sample-user-001,ba49595f-95ea-5a87-b929-b4a481a35810,D001,"{""fictional"":true}"
16fcfa49-306d-5031-b940-c9fd4da435d1,3eb8807f-dcca-5f6d-b9cc-938a9cf4fde5,\N,3c09c32c-3298-5c69-b13d-420f7361f003,sample-user-001,3592bdc8-bce6-5257-aa6c-ed34589a6216,D001,"{""fictional"":true}"
