id,restaurant_id,branch_id,customer_id,order_number,currency,channel,service_type,guest_count,subtotal_amount,discount_amount,service_charge_amount,tax_amount,total_amount,status,submitted_at_utc,completed_at_utc,cancelled_at_utc,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
0d000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000002,c5000000-0000-0000-0000-000000000001,DEMO-ORDER-0001,SGD,pos,dine_in,2,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T12:00:00Z,2026-01-01T12:30:00Z,\N,2026-01-01T11:55:00Z,sample-data,2026-01-01T12:30:00Z,sample-data,1
1ac47f46-9b76-52e7-9710-a3270fdb6c0d,6e5493c8-856c-52d6-b23f-a9b8265b82a1,09bc7770-60a5-5937-9095-dddde233baed,8bd6f9c9-b7a5-58e3-8b24-a6de79dbaf44,DEMO-ORDER-0001,SGD,pos,dine_in,2,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T12:00:00Z,2026-01-01T12:30:00Z,\N,2026-01-01T11:55:00Z,sample-data,2026-01-01T12:30:00Z,sample-data,1
85924700-20f0-57e2-b29c-b6e2b159a606,bb432b46-9db3-5087-86a6-667d8a5461d2,c2581768-52bb-5a5e-bb60-ea8630c0cc48,be528f36-b683-51fc-bb91-63d4ffd6dc83,DEMO-ORDER-0001,SGD,pos,dine_in,2,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T12:00:00Z,2026-01-01T12:30:00Z,\N,2026-01-01T11:55:00Z,sample-data,2026-01-01T12:30:00Z,sample-data,1
dc99f6f9-706a-506f-bc05-40359b125d5c,02893fb5-cd61-516d-a1c6-a31b633a8440,2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,0b266f06-c755-5169-bc3e-ba9b1bdd2f8f,DEMO-ORDER-0001,SGD,pos,dine_in,2,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T12:00:00Z,2026-01-01T12:30:00Z,\N,2026-01-01T11:55:00Z,sample-data,2026-01-01T12:30:00Z,sample-data,1
9256c8c8-680f-516d-bb84-8382ffd14af4,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,c0a7cac5-1d51-54cc-8e20-d091007b9a5a,7cbe3383-9bbd-59f0-b0f5-f97f28407fca,DEMO-ORDER-0001,SGD,pos,dine_in,2,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T12:00:00Z,2026-01-01T12:30:00Z,\N,2026-01-01T11:55:00Z,sample-data,2026-01-01T12:30:00Z,sample-data,1
350a23ee-21a4-5eb7-9c80-119858f5e6f1,292495cc-29f1-532a-8347-61381793ace8,68c8496c-6b5f-5845-99d6-46d8d79afb1f,16d238ca-c49a-50fc-bc41-9e42cddf20fb,DEMO-ORDER-0001,SGD,pos,dine_in,2,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T12:00:00Z,2026-01-01T12:30:00Z,\N,2026-01-01T11:55:00Z,sample-data,2026-01-01T12:30:00Z,sample-data,1
1c04c73e-f11e-5d30-8569-603615419a07,f336981e-6b07-55f6-8f3b-5bb68a996561,87111368-22a3-51ff-a055-d0af38899e40,b3a6a94b-4f02-542c-8cb7-51c81f7c597a,DEMO-ORDER-0001,SGD,pos,dine_in,2,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T12:00:00Z,2026-01-01T12:30:00Z,\N,2026-01-01T11:55:00Z,sample-data,2026-01-01T12:30:00Z,sample-data,1
ecd8c9c4-f108-5631-8771-8012591a3342,5afbb73d-34da-5169-9cd6-3631b29d6906,6ac09be1-21da-5bdf-a553-0d370aa48a48,8440e79a-e220-5289-b652-ffe22e4d2854,DEMO-ORDER-0001,SGD,pos,dine_in,2,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T12:00:00Z,2026-01-01T12:30:00Z,\N,2026-01-01T11:55:00Z,sample-data,2026-01-01T12:30:00Z,sample-data,1
5f93610e-1295-57be-8f01-73c755b8a29b,95aa4d42-7203-5581-a314-7ba4ff85735b,075f1655-5713-5584-b153-7cee0f5edfb1,9a07c783-0054-5fb8-8db7-f2ee5c72f663,DEMO-ORDER-0001,SGD,pos,dine_in,2,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T12:00:00Z,2026-01-01T12:30:00Z,\N,2026-01-01T11:55:00Z,sample-data,2026-01-01T12:30:00Z,sample-data,1
82ccac59-060b-5257-a765-69f8d1da1e62,8550b566-c89f-5552-86ca-8f25b0b21d4d,0c99f45b-6fe6-5a1e-96fc-98333cca6f88,4ff8f0ff-43ae-531e-a627-25bc8ce28c80,DEMO-ORDER-0001,SGD,pos,dine_in,2,16.4000,0.0000,1.6400,1.4760,19.5160,completed,2026-01-01T12:00:00Z,2026-01-01T12:30:00Z,\N,2026-01-01T11:55:00Z,sample-data,2026-01-01T12:30:00Z,sample-data,1
