id,order_id,order_line_id,modifier_group_id,modifier_option_id,group_name_snapshot,option_name_snapshot,quantity,unit_price,total_amount,created_at_utc,created_by
0d000000-0000-0000-0000-000000000003,0d000000-0000-0000-0000-000000000001,0d000000-0000-0000-0000-000000000002,ca000000-0000-0000-0000-000000000501,ca000000-0000-0000-0000-000000000511,Burger Extras,Extra Cheese,1.000,1.5000,1.5000,2026-01-01T11:55:00Z,sample-data
3566380b-7f3b-5b17-99dd-461931f0b37e,1ac47f46-9b76-52e7-9710-a3270fdb6c0d,a593f0b5-8993-5ba4-85c3-93999ba3f1f3,e0010c74-afcb-5f00-946c-d3b06ba81b4a,4347558f-f9de-5ae7-94dc-70fff61f9396,Burger Extras,Extra Cheese,1.000,1.5000,1.5000,2026-01-01T11:55:00Z,sample-data
7e01fb53-50a0-53de-b05e-51661b4af005,85924700-20f0-57e2-b29c-b6e2b159a606,0d48819b-642f-5588-865f-0dbc6bbe955b,0c42f325-464d-5591-ac6d-f18251648f05,fc272c68-7d87-5783-89f9-165888cb509f,Burger Extras,Extra Cheese,1.000,1.5000,1.5000,2026-01-01T11:55:00Z,sample-data
d2c95a8b-2331-5633-9bd8-c9ebeea94860,dc99f6f9-706a-506f-bc05-40359b125d5c,999f5a59-3d14-5285-938d-463bede3c48c,085a3ae5-540e-58a6-b424-ac19fa194f77,c1f7a421-b700-595d-98af-219453fdde42,Burger Extras,Extra Cheese,1.000,1.5000,1.5000,2026-01-01T11:55:00Z,sample-data
37b9d76c-6135-59b4-be25-1ba9578eb5e9,9256c8c8-680f-516d-bb84-8382ffd14af4,a200074a-e3a0-50f9-bd46-030062bce7c8,507bdb03-40d3-5848-9616-b400dea9846c,e0a1b404-137d-54c5-b04c-9fd26c5520f9,Burger Extras,Extra Cheese,1.000,1.5000,1.5000,2026-01-01T11:55:00Z,sample-data
9882c5e7-f342-5c29-b98c-8d4c6eca2538,350a23ee-21a4-5eb7-9c80-119858f5e6f1,6f16ad8c-5da6-5c04-856f-7e8d2e704a37,d9135003-ffcf-54c4-b85a-4471a460f877,51e18a74-a06e-522d-a5df-2afd58b35a10,Burger Extras,Extra Cheese,1.000,1.5000,1.5000,2026-01-01T11:55:00Z,sample-data
27edafaf-db65-58e3-93ed-712b0818601e,1c04c73e-f11e-5d30-8569-603615419a07,58b18c88-a62c-5dd3-91fd-ab853d56125c,2f09163f-db23-57ae-95c6-7c571bbc6415,c098a043-1208-55c0-880a-b3b843c5bf69,Burger Extras,Extra Cheese,1.000,1.5000,1.5000,2026-01-01T11:55:00Z,sample-data
2f7577b7-edc6-539a-86d4-bb5466b33869,ecd8c9c4-f108-5631-8771-8012591a3342,e1b99fb7-bdb7-53d9-ab1b-f5f5f4e81aa1,d9c9d36a-1d8c-58a6-bfa2-6acea3b81d5c,143aa9b2-ccd2-5f63-8851-9c9aaa131df8,Burger Extras,Extra Cheese,1.000,1.5000,1.5000,2026-01-01T11:55:00Z,sample-data
9a167a55-39a4-55ca-8f85-65e9bcbaccdb,5f93610e-1295-57be-8f01-73c755b8a29b,74e9db19-03a3-5e49-b016-44fd832f30d6,eea27100-395d-580f-8c73-c2c6eabcac39,702f6f62-5476-5af4-9296-52d8db7fcae3,Burger Extras,Extra Cheese,1.000,1.5000,1.5000,2026-01-01T11:55:00Z,sample-data
dc950599-3b80-54bb-91b9-dea1fdf40faa,82ccac59-060b-5257-a765-69f8d1da1e62,8f47c7e2-02ff-5490-9a56-5249ac5881f0,04b28316-a582-597f-8ad3-0b343fb7d9c4,c56c2b5a-43b3-53be-b339-f1b9a70f92cc,Burger Extras,Extra Cheese,1.000,1.5000,1.5000,2026-01-01T11:55:00Z,sample-data
d6ece974-4415-5121-b2bc-54de15f63d03,450dca80-f375-51db-9401-680b18119c56,6398393b-1a05-50cf-ac8c-7b01708fc119,6793168b-3865-50ca-80c9-865b9fb937ec,ee7f36d4-e669-525a-9d35-edbc91371467,Burger Extras,Extra Cheese,1.000,1.5000,1.5000,2026-01-01T11:55:00Z,sample-data
dc73fc24-8d20-5eac-94a6-6a35def7b736,dd4b24fe-84b1-5666-8b71-c6f07650b798,07c21827-a5ec-55f2-add7-a2ec35aaf965,0f468ed3-fc3d-5f28-8e72-43103a5ebc51,76a6d026-0f47-59ed-abee-f43f50aebd2f,Burger Extras,Extra Cheese,1.000,1.5000,1.5000,2026-01-01T11:55:00Z,sample-data
