id,restaurant_id,branch_id,code,name,scope_type,valid_from_utc,valid_to_utc,status,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000701,ca000000-0000-0000-0000-000000000001,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e22ad3eb-7e41-5ba1-918c-71510edeac07,6e5493c8-856c-52d6-b23f-a9b8265b82a1,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
6e9c1da1-25b5-5383-a97d-55adf74234d1,bb432b46-9db3-5087-86a6-667d8a5461d2,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
dec2ffbd-e425-5bee-ac7b-44bc043bcd28,02893fb5-cd61-516d-a1c6-a31b633a8440,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
4bea7c14-1365-5aa6-9b1d-38db14ddb5bb,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
bf9da953-7515-5a04-853f-0cfca9756dea,292495cc-29f1-532a-8347-61381793ace8,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
9d364008-e6e1-5472-990d-eefa9287375e,f336981e-6b07-55f6-8f3b-5bb68a996561,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
b396dc53-9534-5033-a785-309ef25c6a39,5afbb73d-34da-5169-9cd6-3631b29d6906,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e6d354f0-0daa-582b-9bdb-33b961f7431a,95aa4d42-7203-5581-a314-7ba4ff85735b,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
367eb3bc-483a-5546-b7aa-4b2e0c12277b,8550b566-c89f-5552-86ca-8f25b0b21d4d,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
1ed50428-fa44-5d81-8e98-dd05a200c4ec,d615a3b5-351d-5ed5-bb69-c4dcac36aa00,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
a7217649-141f-5c0e-9a55-a8a661d5c0c3,bb3ac671-6c2e-5416-acd7-85d71693d50e,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
34c0da15-8be1-5e44-9db8-827d6f61a127,bfad71f3-0e54-5467-bb83-c8664b3d7bc3,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
37ae328d-a13d-529e-94c1-8a178f585bcf,104f9e79-e136-5ed4-a852-64d160340e45,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
b3adb6ae-8eb4-5572-8f13-812a5d9d812f,caa70f0d-2314-5cf5-a481-0c259c347e04,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
760fef47-84da-5dfe-9f01-f971a2e9cb13,a8e4c50c-665a-56b1-b68c-03b500b4ba4a,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
91250a85-9c5b-514f-9d7e-e1f6573595c5,6cf0dd31-f5a3-5fb4-bdc2-733a20f5f35c,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
cc1ad8bc-edbc-5a4b-9f67-eca4c81cd673,5a29b0dd-09ca-560f-b248-db0555c5c325,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
9e01563d-07a5-5bf7-afe4-79c9be71149e,bab016a4-e1f0-5423-95ba-68a55a375518,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
10e0fab3-11bf-5675-921e-00acd584f5ff,bf67c71a-ef24-5eed-87ee-0b99059448c0,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
4f2f488d-5ce7-524f-a786-d7ed7f56c3be,07b24cca-976d-532c-9467-d2343cc9f38d,\N,all_day,All Day Menu,restaurant,2026-01-01T00:00:00Z,\N,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
