id,restaurant_id,code,name,minimum_selections,maximum_selections,display_order,status,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000501,ca000000-0000-0000-0000-000000000001,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e0010c74-afcb-5f00-946c-d3b06ba81b4a,6e5493c8-856c-52d6-b23f-a9b8265b82a1,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
0c42f325-464d-5591-ac6d-f18251648f05,bb432b46-9db3-5087-86a6-667d8a5461d2,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
085a3ae5-540e-58a6-b424-ac19fa194f77,02893fb5-cd61-516d-a1c6-a31b633a8440,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
507bdb03-40d3-5848-9616-b400dea9846c,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
d9135003-ffcf-54c4-b85a-4471a460f877,292495cc-29f1-532a-8347-61381793ace8,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
2f09163f-db23-57ae-95c6-7c571bbc6415,f336981e-6b07-55f6-8f3b-5bb68a996561,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
d9c9d36a-1d8c-58a6-bfa2-6acea3b81d5c,5afbb73d-34da-5169-9cd6-3631b29d6906,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
eea27100-395d-580f-8c73-c2c6eabcac39,95aa4d42-7203-5581-a314-7ba4ff85735b,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
04b28316-a582-597f-8ad3-0b343fb7d9c4,8550b566-c89f-5552-86ca-8f25b0b21d4d,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
6793168b-3865-50ca-80c9-865b9fb937ec,d615a3b5-351d-5ed5-bb69-c4dcac36aa00,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
0f468ed3-fc3d-5f28-8e72-43103a5ebc51,bb3ac671-6c2e-5416-acd7-85d71693d50e,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
4e361339-2843-55c2-8d17-d44ab2c7c97f,bfad71f3-0e54-5467-bb83-c8664b3d7bc3,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
11341b55-85d6-5603-b154-0efb0733aaf4,104f9e79-e136-5ed4-a852-64d160340e45,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
01407082-a538-535b-af9d-d416ca40454e,caa70f0d-2314-5cf5-a481-0c259c347e04,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
67788813-fe0f-52cb-b70c-083ba17fcca1,a8e4c50c-665a-56b1-b68c-03b500b4ba4a,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
10f68856-a209-5466-9de2-eb7da63a76c1,6cf0dd31-f5a3-5fb4-bdc2-733a20f5f35c,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
301b8e3b-6e2f-540c-94ac-6670a31e38a8,5a29b0dd-09ca-560f-b248-db0555c5c325,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
84f397e6-be53-5bb8-96e7-3d8f8154e487,bab016a4-e1f0-5423-95ba-68a55a375518,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
0c61ae82-4130-5724-9e0c-59083740d392,bf67c71a-ef24-5eed-87ee-0b99059448c0,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
dc3f6444-a80b-57be-8b02-774c251ab6b2,07b24cca-976d-532c-9467-d2343cc9f38d,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
4f88efc9-4e96-5195-b4aa-4ed33f29415f,fa9711c5-4a59-5910-b824-83392f64a533,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
fb4c6d4e-ab9e-5706-857d-efed32c3ede2,597b352f-cbab-5ea6-893f-73309ac2fbf9,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
219a63f4-808e-560e-b059-d8a8d867a4d0,22681635-41b9-56da-a764-798ba158a3ac,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ddeb57f5-3c4d-578f-9f8d-8ccb54212cbf,07ec22d2-2b6d-5c14-8ffc-39efd39e0a9e,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
04186a4a-8bc9-5bcc-868b-3346e9a6f81f,fce39051-f305-572f-83db-29fbaf5b798a,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
7660215c-514a-5ba8-aaba-02fca7ca80a9,d6cf8637-33f0-58ca-a006-64b3c3f5b7f1,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
988a7195-9acf-5d92-b7f7-db525ea3cd68,4b8ac2bc-db12-5fb9-8556-20aa186929f6,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
aec467f8-d3cf-54bc-ba0a-f120d24564e8,7a5fbc73-7498-500c-b457-d15f22bb9989,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
08d49fda-471f-5633-b5f6-5680c5e3fe0e,8ca9e1ae-e628-59af-8ab4-395d06328807,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
72919bad-0263-5a01-9bda-2858366bbc91,98e2754e-6697-50e6-8bab-81a98e4aeca7,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
3ac2b1c8-983d-5df0-9c25-e6600ec78a59,bbf4f4ee-81c9-55b0-80af-33be79e561ee,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
f8f7d0dd-b75b-57f6-8786-e714a1c18a97,c1460c74-b0e2-5d90-9797-9f6b2e861e30,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
fea9a7de-3c26-50f1-ba2d-b756bee3dc37,67af2cf8-ba63-5420-aaa1-3d4828850036,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
c1997afe-112d-578a-a78a-33e5332324e4,517ff701-319d-502a-b5b9-e1c36a3cde3c,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
8bb91a74-220f-51ff-920f-af4eaac51471,b3efb6f0-9635-58cf-b533-6394b23e857d,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
09194132-be31-54ac-b4cb-792914109c72,707f9a45-b18a-5759-b1bd-cb4b9991c763,extras,Burger Extras,0,2,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
