id,restaurant_id,tax_classification_id,sku,name,description,base_unit,attributes,status,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000301,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000101,DEMO-BURGER,Harbour Burger,Fictional grilled burger,each,"{""spiceLevel"":""mild""}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ca000000-0000-0000-0000-000000000302,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000101,DEMO-COFFEE,Orchard Coffee,Fictional house coffee,cup,"{""containsCaffeine"":true}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
83686fd2-1032-5473-a5e2-3a1b1c8d78c0,6e5493c8-856c-52d6-b23f-a9b8265b82a1,50faa3a8-eeef-501e-b6db-cfc6a78318b8,DEMO-BURGER,Harbour Burger,Fictional grilled burger,each,"{""spiceLevel"":""mild""}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
4695d689-2aec-5a8e-91d0-ba2db9ca6d0e,6e5493c8-856c-52d6-b23f-a9b8265b82a1,50faa3a8-eeef-501e-b6db-cfc6a78318b8,DEMO-COFFEE,Orchard Coffee,Fictional house coffee,cup,"{""containsCaffeine"":true}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
5b524556-2840-5352-930a-3665399f88b1,bb432b46-9db3-5087-86a6-667d8a5461d2,ff59c231-e51b-59c6-9624-136d205f7e34,DEMO-BURGER,Harbour Burger,Fictional grilled burger,each,"{""spiceLevel"":""mild""}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
2185c73f-9a70-5a46-accc-7acff93af0ae,bb432b46-9db3-5087-86a6-667d8a5461d2,ff59c231-e51b-59c6-9624-136d205f7e34,DEMO-COFFEE,Orchard Coffee,Fictional house coffee,cup,"{""containsCaffeine"":true}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
8712d970-0129-5558-8212-9bafaf6b9bb6,02893fb5-cd61-516d-a1c6-a31b633a8440,542de73c-2359-53a5-a8dd-a97a3540a0ad,DEMO-BURGER,Harbour Burger,Fictional grilled burger,each,"{""spiceLevel"":""mild""}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
f3e77a4e-a77c-56b7-ad36-79aa5284023c,02893fb5-cd61-516d-a1c6-a31b633a8440,542de73c-2359-53a5-a8dd-a97a3540a0ad,DEMO-COFFEE,Orchard Coffee,Fictional house coffee,cup,"{""containsCaffeine"":true}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ce15e28e-6590-5ee9-a5a6-1f0910b46e7f,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,b9416b2c-ee20-5b99-8982-a928a7904df4,DEMO-BURGER,Harbour Burger,Fictional grilled burger,each,"{""spiceLevel"":""mild""}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
9a724731-c0cc-5a1d-8c52-5e70ac52f5a6,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,b9416b2c-ee20-5b99-8982-a928a7904df4,DEMO-COFFEE,Orchard Coffee,Fictional house coffee,cup,"{""containsCaffeine"":true}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
5aa1c0aa-c074-5aae-a3e6-ee3b9c0214a0,292495cc-29f1-532a-8347-61381793ace8,c144cc70-b692-5d28-a245-4481b52085a6,DEMO-BURGER,Harbour Burger,Fictional grilled burger,each,"{""spiceLevel"":""mild""}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
491ad47d-eeaa-5ed0-aeee-ec20ad1523f6,292495cc-29f1-532a-8347-61381793ace8,c144cc70-b692-5d28-a245-4481b52085a6,DEMO-COFFEE,Orchard Coffee,Fictional house coffee,cup,"{""containsCaffeine"":true}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
c756216f-bd8b-59f6-b2f4-b443cc47a99f,f336981e-6b07-55f6-8f3b-5bb68a996561,939ed53f-866b-590a-947b-c2aad1782769,DEMO-BURGER,Harbour Burger,Fictional grilled burger,each,"{""spiceLevel"":""mild""}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
f388bf25-5fea-58c6-a437-5cd3c971f1ba,f336981e-6b07-55f6-8f3b-5bb68a996561,939ed53f-866b-590a-947b-c2aad1782769,DEMO-COFFEE,Orchard Coffee,Fictional house coffee,cup,"{""containsCaffeine"":true}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
2a1ef463-3feb-5b55-9cbe-ff8a287f6f33,5afbb73d-34da-5169-9cd6-3631b29d6906,045b8aa8-e739-5fdc-8537-80b196043bf8,DEMO-BURGER,Harbour Burger,Fictional grilled burger,each,"{""spiceLevel"":""mild""}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
12497814-c31a-548e-8525-26a2a07ff6de,5afbb73d-34da-5169-9cd6-3631b29d6906,045b8aa8-e739-5fdc-8537-80b196043bf8,DEMO-COFFEE,Orchard Coffee,Fictional house coffee,cup,"{""containsCaffeine"":true}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
df05dee3-4125-5649-a6c0-fd9d82793f65,95aa4d42-7203-5581-a314-7ba4ff85735b,b80f93a6-8fce-5ce5-88d5-feafff6d0ebf,DEMO-BURGER,Harbour Burger,Fictional grilled burger,each,"{""spiceLevel"":""mild""}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e4fe022f-8274-54be-9d31-10943a9423af,95aa4d42-7203-5581-a314-7ba4ff85735b,b80f93a6-8fce-5ce5-88d5-feafff6d0ebf,DEMO-COFFEE,Orchard Coffee,Fictional house coffee,cup,"{""containsCaffeine"":true}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
4cb83726-bd49-5de9-bc9b-5ee9a9f13d33,8550b566-c89f-5552-86ca-8f25b0b21d4d,89619ac5-b100-5699-8ce0-7368492edf77,DEMO-BURGER,Harbour Burger,Fictional grilled burger,each,"{""spiceLevel"":""mild""}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
28c820df-d6d8-5b9c-9f23-e917625793dd,8550b566-c89f-5552-86ca-8f25b0b21d4d,89619ac5-b100-5699-8ce0-7368492edf77,DEMO-COFFEE,Orchard Coffee,Fictional house coffee,cup,"{""containsCaffeine"":true}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
1c4137e8-b4e3-51bd-8e34-f9c9b493268e,d615a3b5-351d-5ed5-bb69-c4dcac36aa00,fef729b6-dbdc-5c2e-a16f-d1a0d1e3bac5,DEMO-BURGER,Harbour Burger,Fictional grilled burger,each,"{""spiceLevel"":""mild""}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
c33486c5-4223-59a2-94d4-7382104c7459,d615a3b5-351d-5ed5-bb69-c4dcac36aa00,fef729b6-dbdc-5c2e-a16f-d1a0d1e3bac5,DEMO-COFFEE,Orchard Coffee,Fictional house coffee,cup,"{""containsCaffeine"":true}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
06f87041-5261-5777-81a6-d70e65703ccf,bb3ac671-6c2e-5416-acd7-85d71693d50e,38ba92a1-2067-55ff-9c04-63827725f2b9,DEMO-BURGER,Harbour Burger,Fictional grilled burger,each,"{""spiceLevel"":""mild""}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
8c4d6e66-affe-5b30-8344-a5eada4a9353,bb3ac671-6c2e-5416-acd7-85d71693d50e,38ba92a1-2067-55ff-9c04-63827725f2b9,DEMO-COFFEE,Orchard Coffee,Fictional house coffee,cup,"{""containsCaffeine"":true}",active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
