id,restaurant_id,price_list_id,modifier_group_id,modifier_option_id,amount,effective_from_utc,effective_to_utc,created_at_utc,created_by
ca000000-0000-0000-0000-000000000621,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000601,ca000000-0000-0000-0000-000000000501,ca000000-0000-0000-0000-000000000511,1.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
ca000000-0000-0000-0000-000000000622,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000601,ca000000-0000-0000-0000-000000000501,ca000000-0000-0000-0000-000000000512,0.7500,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
dfdfd4a2-dcac-5cd3-a770-6c441e6bae15,6e5493c8-856c-52d6-b23f-a9b8265b82a1,39f0aa40-209f-5dc5-a43b-b9030962d55b,e0010c74-afcb-5f00-946c-d3b06ba81b4a,4347558f-f9de-5ae7-94dc-70fff61f9396,1.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
d0acd288-347d-57b0-92bc-c2edb53815ab,6e5493c8-856c-52d6-b23f-a9b8265b82a1,39f0aa40-209f-5dc5-a43b-b9030962d55b,e0010c74-afcb-5f00-946c-d3b06ba81b4a,9b1159f0-e6e8-554e-8d76-8496b7218803,0.7500,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
b2f1c68e-95e4-552d-bb4f-30854817175d,bb432b46-9db3-5087-86a6-667d8a5461d2,0f0fd00c-de03-5708-8fe5-5af0c17a0e3e,0c42f325-464d-5591-ac6d-f18251648f05,fc272c68-7d87-5783-89f9-165888cb509f,1.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
cc233cdb-a055-5485-b249-325fccfffde5,bb432b46-9db3-5087-86a6-667d8a5461d2,0f0fd00c-de03-5708-8fe5-5af0c17a0e3e,0c42f325-464d-5591-ac6d-f18251648f05,7a96635a-dee7-540d-9aca-c8b1b8656473,0.7500,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
a2bee632-a1b5-5e0e-b817-a5d6310f6003,02893fb5-cd61-516d-a1c6-a31b633a8440,6d0bae46-1dd6-51ed-97e3-2f95f40947eb,085a3ae5-540e-58a6-b424-ac19fa194f77,c1f7a421-b700-595d-98af-219453fdde42,1.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
d6c26906-1b74-5871-8605-a4b90c47b055,02893fb5-cd61-516d-a1c6-a31b633a8440,6d0bae46-1dd6-51ed-97e3-2f95f40947eb,085a3ae5-540e-58a6-b424-ac19fa194f77,bbc73db1-d1a2-5e7f-b6a5-b1394560477e,0.7500,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
09d6efec-1f67-5d8b-acfd-10a4285427b3,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,bcd0d4e6-a0f3-567c-99bf-de98f4e81bec,507bdb03-40d3-5848-9616-b400dea9846c,e0a1b404-137d-54c5-b04c-9fd26c5520f9,1.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
03cc3873-8dfd-507f-821e-9b9c5a4528d1,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,bcd0d4e6-a0f3-567c-99bf-de98f4e81bec,507bdb03-40d3-5848-9616-b400dea9846c,f13d1fc3-0e55-5fd7-a6e6-a52ab1d5c0c4,0.7500,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
db3a92f8-c5dd-542d-8218-ad93bb7b8761,292495cc-29f1-532a-8347-61381793ace8,611083e4-3a75-5193-b0fb-3f13e78e7ebe,d9135003-ffcf-54c4-b85a-4471a460f877,51e18a74-a06e-522d-a5df-2afd58b35a10,1.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
93c643e6-276e-541e-9a21-8f1d69edc050,292495cc-29f1-532a-8347-61381793ace8,611083e4-3a75-5193-b0fb-3f13e78e7ebe,d9135003-ffcf-54c4-b85a-4471a460f877,53b5e54e-b193-5c79-b5d2-dd87b1db2331,0.7500,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
0efe33d4-35cf-543f-877b-843a85f0464d,f336981e-6b07-55f6-8f3b-5bb68a996561,de79e235-b66c-5a13-8c63-9ebd130c2558,2f09163f-db23-57ae-95c6-7c571bbc6415,c098a043-1208-55c0-880a-b3b843c5bf69,1.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
20a096f9-7880-590e-8f92-1176145fe677,f336981e-6b07-55f6-8f3b-5bb68a996561,de79e235-b66c-5a13-8c63-9ebd130c2558,2f09163f-db23-57ae-95c6-7c571bbc6415,57dcc69a-f1f3-5fa5-a712-b2fccdebf2f2,0.7500,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
a46f90f9-d2aa-58ec-b3c5-b71fb2d300f9,5afbb73d-34da-5169-9cd6-3631b29d6906,e165122e-8519-526a-bb57-919fc1a15631,d9c9d36a-1d8c-58a6-bfa2-6acea3b81d5c,143aa9b2-ccd2-5f63-8851-9c9aaa131df8,1.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
b84c7276-3a1d-558b-91b0-2744b238a556,5afbb73d-34da-5169-9cd6-3631b29d6906,e165122e-8519-526a-bb57-919fc1a15631,d9c9d36a-1d8c-58a6-bfa2-6acea3b81d5c,1320801c-27fa-53ae-8fa6-4c51d8973691,0.7500,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
0a383a06-31c4-5a40-9e5e-70e0e4a3bc84,95aa4d42-7203-5581-a314-7ba4ff85735b,9e657945-5ff6-584a-9588-04f4b56a654b,eea27100-395d-580f-8c73-c2c6eabcac39,702f6f62-5476-5af4-9296-52d8db7fcae3,1.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
07779b64-31d3-5352-a026-af55516c1033,95aa4d42-7203-5581-a314-7ba4ff85735b,9e657945-5ff6-584a-9588-04f4b56a654b,eea27100-395d-580f-8c73-c2c6eabcac39,3c0c922b-5a87-51a2-810a-aa16ba92eb31,0.7500,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
d57f0d3a-45e0-59d5-bbd6-935fcb7c53e4,8550b566-c89f-5552-86ca-8f25b0b21d4d,80914635-0ffe-58c7-9526-bdff43354809,04b28316-a582-597f-8ad3-0b343fb7d9c4,c56c2b5a-43b3-53be-b339-f1b9a70f92cc,1.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
876f4b97-3fa1-5241-8f2a-66b6a9e82f6b,8550b566-c89f-5552-86ca-8f25b0b21d4d,80914635-0ffe-58c7-9526-bdff43354809,04b28316-a582-597f-8ad3-0b343fb7d9c4,83e0c4f7-77b0-533a-96e5-3491414b4737,0.7500,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
e94d0040-0ab9-525d-bfd9-969806ce140e,d615a3b5-351d-5ed5-bb69-c4dcac36aa00,ae31f60a-35a4-5119-9af0-6e7a6afaf4a1,6793168b-3865-50ca-80c9-865b9fb937ec,ee7f36d4-e669-525a-9d35-edbc91371467,1.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
