id,restaurant_id,menu_id,product_id,product_variant_id,display_order,status,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000711,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000701,ca000000-0000-0000-0000-000000000301,\N,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ca000000-0000-0000-0000-000000000712,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000701,ca000000-0000-0000-0000-000000000302,\N,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ca000000-0000-0000-0000-000000000713,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000701,ca000000-0000-0000-0000-000000000302,ca000000-0000-0000-0000-000000000401,30,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
644e2c03-52b2-5a7c-b80c-576c905e9389,6e5493c8-856c-52d6-b23f-a9b8265b82a1,e22ad3eb-7e41-5ba1-918c-71510edeac07,83686fd2-1032-5473-a5e2-3a1b1c8d78c0,\N,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
f23134c4-1d1a-593e-8580-7a407768cc6c,6e5493c8-856c-52d6-b23f-a9b8265b82a1,e22ad3eb-7e41-5ba1-918c-71510edeac07,4695d689-2aec-5a8e-91d0-ba2db9ca6d0e,\N,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
19cd4056-cbc8-5c91-a758-477d3516dacf,6e5493c8-856c-52d6-b23f-a9b8265b82a1,e22ad3eb-7e41-5ba1-918c-71510edeac07,4695d689-2aec-5a8e-91d0-ba2db9ca6d0e,2797492b-5bbc-5862-9970-e5142c69bf81,30,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
2e40cc9e-c006-53a6-a39a-4455a3f27429,bb432b46-9db3-5087-86a6-667d8a5461d2,6e9c1da1-25b5-5383-a97d-55adf74234d1,5b524556-2840-5352-930a-3665399f88b1,\N,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
8b2ea6fc-567f-5132-a5d7-0cecfcc64776,bb432b46-9db3-5087-86a6-667d8a5461d2,6e9c1da1-25b5-5383-a97d-55adf74234d1,2185c73f-9a70-5a46-accc-7acff93af0ae,\N,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
04d1925e-0da8-5f11-9658-de583ba42504,bb432b46-9db3-5087-86a6-667d8a5461d2,6e9c1da1-25b5-5383-a97d-55adf74234d1,2185c73f-9a70-5a46-accc-7acff93af0ae,4d3f0559-0ac6-549b-bb62-5feb48832393,30,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
05585ad0-6877-55c1-aa12-2a04cbaab129,02893fb5-cd61-516d-a1c6-a31b633a8440,dec2ffbd-e425-5bee-ac7b-44bc043bcd28,8712d970-0129-5558-8212-9bafaf6b9bb6,\N,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
