id,restaurant_id,product_id,code,name,attributes,display_order,status,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000401,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000302,large,Large,"{""volumeMl"":350}",10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
2797492b-5bbc-5862-9970-e5142c69bf81,6e5493c8-856c-52d6-b23f-a9b8265b82a1,4695d689-2aec-5a8e-91d0-ba2db9ca6d0e,large,Large,"{""volumeMl"":350}",10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
4d3f0559-0ac6-549b-bb62-5feb48832393,bb432b46-9db3-5087-86a6-667d8a5461d2,2185c73f-9a70-5a46-accc-7acff93af0ae,large,Large,"{""volumeMl"":350}",10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
9eeb00a1-7da7-5f14-8951-ab6fa9f10829,02893fb5-cd61-516d-a1c6-a31b633a8440,f3e77a4e-a77c-56b7-ad36-79aa5284023c,large,Large,"{""volumeMl"":350}",10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e8fc0430-deb7-5c5a-a6f7-c7ea97724853,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,9a724731-c0cc-5a1d-8c52-5e70ac52f5a6,large,Large,"{""volumeMl"":350}",10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e42d534c-e9f0-5698-8d28-1daaf3500de1,292495cc-29f1-532a-8347-61381793ace8,491ad47d-eeaa-5ed0-aeee-ec20ad1523f6,large,Large,"{""volumeMl"":350}",10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
a15341a8-46f0-54c6-ad64-15c3c236e58c,f336981e-6b07-55f6-8f3b-5bb68a996561,f388bf25-5fea-58c6-a437-5cd3c971f1ba,large,Large,"{""volumeMl"":350}",10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
48d71352-6b5e-5589-a260-d51807fa3524,5afbb73d-34da-5169-9cd6-3631b29d6906,12497814-c31a-548e-8525-26a2a07ff6de,large,Large,"{""volumeMl"":350}",10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ab193f5f-29c4-5654-a39b-1cfcaba09316,95aa4d42-7203-5581-a314-7ba4ff85735b,e4fe022f-8274-54be-9d31-10943a9423af,large,Large,"{""volumeMl"":350}",10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e5f02ab1-f8f8-5547-8429-8cabf541725f,8550b566-c89f-5552-86ca-8f25b0b21d4d,28c820df-d6d8-5b9c-9f23-e917625793dd,large,Large,"{""volumeMl"":350}",10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
9d6ce305-76f6-570b-8c40-66e7b9998555,d615a3b5-351d-5ed5-bb69-c4dcac36aa00,c33486c5-4223-59a2-94d4-7382104c7459,large,Large,"{""volumeMl"":350}",10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
06aad61b-52b9-5940-86c7-1ab628ea7684,bb3ac671-6c2e-5416-acd7-85d71693d50e,8c4d6e66-affe-5b30-8344-a5eada4a9353,large,Large,"{""volumeMl"":350}",10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
