id,event_type,contract_version,aggregate_type,aggregate_id,payload,correlation_id,causation_id,occurred_at_utc,published_at_utc,retry_count,next_attempt_at_utc,last_error_category
ca000000-0000-0000-0000-000000000841,catalog.sample-data.loaded,1,catalog,ca000000-0000-0000-0000-000000000001,"{""source"":""sample-data"",""fictional"":true}",sample-data-catalog,\N,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,0,\N,\N
7215a156-ed92-5973-849f-d12f9afe9629,catalog.sample-data.loaded,1,catalog,6e5493c8-856c-52d6-b23f-a9b8265b82a1,"{""source"":""sample-data"",""fictional"":true}",sample-data-catalog,\N,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,0,\N,\N
5877fc03-2061-59b7-8d8b-bf1a0fcfb9da,catalog.sample-data.loaded,1,catalog,bb432b46-9db3-5087-86a6-667d8a5461d2,"{""source"":""sample-data"",""fictional"":true}",sample-data-catalog,\N,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,0,\N,\N
0867dc4d-48ad-504e-8741-b8f704c767a8,catalog.sample-data.loaded,1,catalog,02893fb5-cd61-516d-a1c6-a31b633a8440,"{""source"":""sample-data"",""fictional"":true}",sample-data-catalog,\N,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,0,\N,\N
bb71ea51-bfba-5efb-a6f5-0f7e1c947e2f,catalog.sample-data.loaded,1,catalog,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,"{""source"":""sample-data"",""fictional"":true}",sample-data-catalog,\N,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,0,\N,\N
7baf499c-aab9-561c-957d-5c8b28d3d435,catalog.sample-data.loaded,1,catalog,292495cc-29f1-532a-8347-61381793ace8,"{""source"":""sample-data"",""fictional"":true}",sample-data-catalog,\N,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,0,\N,\N
beeea6dc-ee90-5213-a544-63388b7fa163,catalog.sample-data.loaded,1,catalog,f336981e-6b07-55f6-8f3b-5bb68a996561,"{""source"":""sample-data"",""fictional"":true}",sample-data-catalog,\N,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,0,\N,\N
2b10e97c-bcbc-5c4b-9685-4e35ea7a0040,catalog.sample-data.loaded,1,catalog,5afbb73d-34da-5169-9cd6-3631b29d6906,"{""source"":""sample-data"",""fictional"":true}",sample-data-catalog,\N,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,0,\N,\N
345692e1-5a59-55ed-b2ad-0b49c615d9dd,catalog.sample-data.loaded,1,catalog,95aa4d42-7203-5581-a314-7ba4ff85735b,"{""source"":""sample-data"",""fictional"":true}",sample-data-catalog,\N,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,0,\N,\N
181e3cae-d051-5b04-8e7c-d8227e6e73c7,catalog.sample-data.loaded,1,catalog,8550b566-c89f-5552-86ca-8f25b0b21d4d,"{""source"":""sample-data"",""fictional"":true}",sample-data-catalog,\N,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,0,\N,\N
5a585756-6c1f-5898-a283-2a2c88ba014c,catalog.sample-data.loaded,1,catalog,d615a3b5-351d-5ed5-bb69-c4dcac36aa00,"{""source"":""sample-data"",""fictional"":true}",sample-data-catalog,\N,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,0,\N,\N
0e8d4e74-f451-5aae-bf92-c0bc2f1f2fd6,catalog.sample-data.loaded,1,catalog,bb3ac671-6c2e-5416-acd7-85d71693d50e,"{""source"":""sample-data"",""fictional"":true}",sample-data-catalog,\N,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,0,\N,\N
33c5cb3f-00de-580d-aaae-d42cde68543f,catalog.sample-data.loaded,1,catalog,bfad71f3-0e54-5467-bb83-c8664b3d7bc3,"{""source"":""sample-data"",""fictional"":true}",sample-data-catalog,\N,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,0,\N,\N
