id,restaurant_id,price_list_id,product_id,product_variant_id,amount,effective_from_utc,effective_to_utc,created_at_utc,created_by
ca000000-0000-0000-0000-000000000611,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000601,ca000000-0000-0000-0000-000000000301,\N,14.9000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
ca000000-0000-0000-0000-000000000612,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000601,ca000000-0000-0000-0000-000000000302,\N,4.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
ca000000-0000-0000-0000-000000000613,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000601,ca000000-0000-0000-0000-000000000302,ca000000-0000-0000-0000-000000000401,5.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
0c9e52b5-a9ba-596a-9faa-47dec9d836d0,6e5493c8-856c-52d6-b23f-a9b8265b82a1,39f0aa40-209f-5dc5-a43b-b9030962d55b,83686fd2-1032-5473-a5e2-3a1b1c8d78c0,\N,14.9000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
a2c3863a-1790-5320-ba0d-ad0b3fc4358a,6e5493c8-856c-52d6-b23f-a9b8265b82a1,39f0aa40-209f-5dc5-a43b-b9030962d55b,4695d689-2aec-5a8e-91d0-ba2db9ca6d0e,\N,4.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
84fb4ade-5647-564c-96b5-a621f8ffce2d,6e5493c8-856c-52d6-b23f-a9b8265b82a1,39f0aa40-209f-5dc5-a43b-b9030962d55b,4695d689-2aec-5a8e-91d0-ba2db9ca6d0e,2797492b-5bbc-5862-9970-e5142c69bf81,5.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
4393d9d8-a0e1-531f-a93a-35893d8759e0,bb432b46-9db3-5087-86a6-667d8a5461d2,0f0fd00c-de03-5708-8fe5-5af0c17a0e3e,5b524556-2840-5352-930a-3665399f88b1,\N,14.9000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
653e944b-d8e0-554b-8650-50059c87d987,bb432b46-9db3-5087-86a6-667d8a5461d2,0f0fd00c-de03-5708-8fe5-5af0c17a0e3e,2185c73f-9a70-5a46-accc-7acff93af0ae,\N,4.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
e28e414a-52dc-5999-91c2-bee1b72eef6b,bb432b46-9db3-5087-86a6-667d8a5461d2,0f0fd00c-de03-5708-8fe5-5af0c17a0e3e,2185c73f-9a70-5a46-accc-7acff93af0ae,4d3f0559-0ac6-549b-bb62-5feb48832393,5.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
fc16bc83-51df-5f46-a1a3-c6b9b8005521,02893fb5-cd61-516d-a1c6-a31b633a8440,6d0bae46-1dd6-51ed-97e3-2f95f40947eb,8712d970-0129-5558-8212-9bafaf6b9bb6,\N,14.9000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
113fc6ae-7a48-5649-b1ce-b36e7a1528fb,02893fb5-cd61-516d-a1c6-a31b633a8440,6d0bae46-1dd6-51ed-97e3-2f95f40947eb,f3e77a4e-a77c-56b7-ad36-79aa5284023c,\N,4.5000,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data
