id,restaurant_id,modifier_group_id,code,name,is_default,display_order,status,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000511,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000501,cheese,Extra Cheese,false,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ca000000-0000-0000-0000-000000000512,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000501,jalapeno,Jalapeno,false,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
4347558f-f9de-5ae7-94dc-70fff61f9396,6e5493c8-856c-52d6-b23f-a9b8265b82a1,e0010c74-afcb-5f00-946c-d3b06ba81b4a,cheese,Extra Cheese,false,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
9b1159f0-e6e8-554e-8d76-8496b7218803,6e5493c8-856c-52d6-b23f-a9b8265b82a1,e0010c74-afcb-5f00-946c-d3b06ba81b4a,jalapeno,Jalapeno,false,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
fc272c68-7d87-5783-89f9-165888cb509f,bb432b46-9db3-5087-86a6-667d8a5461d2,0c42f325-464d-5591-ac6d-f18251648f05,cheese,Extra Cheese,false,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
7a96635a-dee7-540d-9aca-c8b1b8656473,bb432b46-9db3-5087-86a6-667d8a5461d2,0c42f325-464d-5591-ac6d-f18251648f05,jalapeno,Jalapeno,false,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
c1f7a421-b700-595d-98af-219453fdde42,02893fb5-cd61-516d-a1c6-a31b633a8440,085a3ae5-540e-58a6-b424-ac19fa194f77,cheese,Extra Cheese,false,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
bbc73db1-d1a2-5e7f-b6a5-b1394560477e,02893fb5-cd61-516d-a1c6-a31b633a8440,085a3ae5-540e-58a6-b424-ac19fa194f77,jalapeno,Jalapeno,false,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e0a1b404-137d-54c5-b04c-9fd26c5520f9,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,507bdb03-40d3-5848-9616-b400dea9846c,cheese,Extra Cheese,false,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
f13d1fc3-0e55-5fd7-a6e6-a52ab1d5c0c4,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,507bdb03-40d3-5848-9616-b400dea9846c,jalapeno,Jalapeno,false,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
