id,restaurant_id,product_id,product_variant_id,modifier_group_id,display_order,status,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000521,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000301,\N,ca000000-0000-0000-0000-000000000501,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
aa4a95bc-c9c2-5c6d-8174-cbb7113a9bce,6e5493c8-856c-52d6-b23f-a9b8265b82a1,83686fd2-1032-5473-a5e2-3a1b1c8d78c0,\N,e0010c74-afcb-5f00-946c-d3b06ba81b4a,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
dbd61b76-de92-596a-82fa-098142c5a272,bb432b46-9db3-5087-86a6-667d8a5461d2,5b524556-2840-5352-930a-3665399f88b1,\N,0c42f325-464d-5591-ac6d-f18251648f05,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
4791714e-3775-5992-bc76-b2a29732e381,02893fb5-cd61-516d-a1c6-a31b633a8440,8712d970-0129-5558-8212-9bafaf6b9bb6,\N,085a3ae5-540e-58a6-b424-ac19fa194f77,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
4cad003d-fdc1-5b6a-a6b3-6de43dfdc87b,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,ce15e28e-6590-5ee9-a5a6-1f0910b46e7f,\N,507bdb03-40d3-5848-9616-b400dea9846c,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e4c34b14-59b6-5e84-a8ab-1e1aaf01c432,292495cc-29f1-532a-8347-61381793ace8,5aa1c0aa-c074-5aae-a3e6-ee3b9c0214a0,\N,d9135003-ffcf-54c4-b85a-4471a460f877,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
17b9a9ed-a7c0-563a-9a42-3900d9060f2f,f336981e-6b07-55f6-8f3b-5bb68a996561,c756216f-bd8b-59f6-b2f4-b443cc47a99f,\N,2f09163f-db23-57ae-95c6-7c571bbc6415,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
73ff0c6c-a148-50b3-975d-0c9d3dd1e2b8,5afbb73d-34da-5169-9cd6-3631b29d6906,2a1ef463-3feb-5b55-9cbe-ff8a287f6f33,\N,d9c9d36a-1d8c-58a6-bfa2-6acea3b81d5c,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
0fd07666-712e-5d1d-89bc-5b4a1426ad20,95aa4d42-7203-5581-a314-7ba4ff85735b,df05dee3-4125-5649-a6c0-fd9d82793f65,\N,eea27100-395d-580f-8c73-c2c6eabcac39,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
85077233-3c0c-5fee-913b-dfa0890c6312,8550b566-c89f-5552-86ca-8f25b0b21d4d,4cb83726-bd49-5de9-bc9b-5ee9a9f13d33,\N,04b28316-a582-597f-8ad3-0b343fb7d9c4,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
