id,restaurant_id,branch_id,product_id,product_variant_id,availability_status,reason,available_from_utc,available_to_utc,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000811,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000002,ca000000-0000-0000-0000-000000000301,\N,available,\N,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ca000000-0000-0000-0000-000000000812,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000002,ca000000-0000-0000-0000-000000000302,ca000000-0000-0000-0000-000000000401,available,\N,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
9e628424-b69e-57f3-b4c9-019e76b6227f,6e5493c8-856c-52d6-b23f-a9b8265b82a1,09bc7770-60a5-5937-9095-dddde233baed,83686fd2-1032-5473-a5e2-3a1b1c8d78c0,\N,available,\N,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
c6355969-593c-5c01-be55-12ca646a6a0b,6e5493c8-856c-52d6-b23f-a9b8265b82a1,09bc7770-60a5-5937-9095-dddde233baed,4695d689-2aec-5a8e-91d0-ba2db9ca6d0e,2797492b-5bbc-5862-9970-e5142c69bf81,available,\N,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
17d33d8a-d0ce-53d4-b985-d0a3530a36f2,bb432b46-9db3-5087-86a6-667d8a5461d2,c2581768-52bb-5a5e-bb60-ea8630c0cc48,5b524556-2840-5352-930a-3665399f88b1,\N,available,\N,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
0709ffe2-2857-509f-8577-f803bed7645e,bb432b46-9db3-5087-86a6-667d8a5461d2,c2581768-52bb-5a5e-bb60-ea8630c0cc48,2185c73f-9a70-5a46-accc-7acff93af0ae,4d3f0559-0ac6-549b-bb62-5feb48832393,available,\N,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
0621e531-2fed-5ce7-a846-80c0ce8b9300,02893fb5-cd61-516d-a1c6-a31b633a8440,2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,8712d970-0129-5558-8212-9bafaf6b9bb6,\N,available,\N,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
cde3d1de-62ed-5cfb-b5a1-da7300443f5c,02893fb5-cd61-516d-a1c6-a31b633a8440,2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,f3e77a4e-a77c-56b7-ad36-79aa5284023c,9eeb00a1-7da7-5f14-8951-ab6fa9f10829,available,\N,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
a1a86119-47e3-5556-a08a-6b1cb7995384,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,c0a7cac5-1d51-54cc-8e20-d091007b9a5a,ce15e28e-6590-5ee9-a5a6-1f0910b46e7f,\N,available,\N,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
46eeb594-25a2-59b5-8ee7-db5589b98879,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,c0a7cac5-1d51-54cc-8e20-d091007b9a5a,9a724731-c0cc-5a1d-8c52-5e70ac52f5a6,e8fc0430-deb7-5c5a-a6f7-c7ea97724853,available,\N,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
1a515b21-532e-5567-9ea5-c65472e75fee,292495cc-29f1-532a-8347-61381793ace8,68c8496c-6b5f-5845-99d6-46d8d79afb1f,5aa1c0aa-c074-5aae-a3e6-ee3b9c0214a0,\N,available,\N,2026-01-01T00:00:00Z,\N,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
