id,restaurant_id,branch_id,code,name,scope_type,currency,valid_from_utc,valid_to_utc,priority,status,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000601,ca000000-0000-0000-0000-000000000001,\N,standard,Standard Prices,restaurant,SGD,2026-01-01T00:00:00Z,\N,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
39f0aa40-209f-5dc5-a43b-b9030962d55b,6e5493c8-856c-52d6-b23f-a9b8265b82a1,\N,standard,Standard Prices,restaurant,SGD,2026-01-01T00:00:00Z,\N,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
0f0fd00c-de03-5708-8fe5-5af0c17a0e3e,bb432b46-9db3-5087-86a6-667d8a5461d2,\N,standard,Standard Prices,restaurant,SGD,2026-01-01T00:00:00Z,\N,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
6d0bae46-1dd6-51ed-97e3-2f95f40947eb,02893fb5-cd61-516d-a1c6-a31b633a8440,\N,standard,Standard Prices,restaurant,SGD,2026-01-01T00:00:00Z,\N,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
bcd0d4e6-a0f3-567c-99bf-de98f4e81bec,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,\N,standard,Standard Prices,restaurant,SGD,2026-01-01T00:00:00Z,\N,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
611083e4-3a75-5193-b0fb-3f13e78e7ebe,292495cc-29f1-532a-8347-61381793ace8,\N,standard,Standard Prices,restaurant,SGD,2026-01-01T00:00:00Z,\N,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
de79e235-b66c-5a13-8c63-9ebd130c2558,f336981e-6b07-55f6-8f3b-5bb68a996561,\N,standard,Standard Prices,restaurant,SGD,2026-01-01T00:00:00Z,\N,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e165122e-8519-526a-bb57-919fc1a15631,5afbb73d-34da-5169-9cd6-3631b29d6906,\N,standard,Standard Prices,restaurant,SGD,2026-01-01T00:00:00Z,\N,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
9e657945-5ff6-584a-9588-04f4b56a654b,95aa4d42-7203-5581-a314-7ba4ff85735b,\N,standard,Standard Prices,restaurant,SGD,2026-01-01T00:00:00Z,\N,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
80914635-0ffe-58c7-9526-bdff43354809,8550b566-c89f-5552-86ca-8f25b0b21d4d,\N,standard,Standard Prices,restaurant,SGD,2026-01-01T00:00:00Z,\N,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
