id,restaurant_id,parent_category_id,code,name,description,display_order,status,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000201,ca000000-0000-0000-0000-000000000001,\N,mains,Main Dishes,Fictional sample main dishes,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ca000000-0000-0000-0000-000000000202,ca000000-0000-0000-0000-000000000001,\N,drinks,Drinks,Fictional sample beverages,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
2998a577-5416-5833-bdab-4c735e5f3b66,6e5493c8-856c-52d6-b23f-a9b8265b82a1,\N,mains,Main Dishes,Fictional sample main dishes,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
b2f46c5d-d932-53b5-aa1d-b90bbef0be4f,6e5493c8-856c-52d6-b23f-a9b8265b82a1,\N,drinks,Drinks,Fictional sample beverages,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
15cb7453-c9ed-5fce-ba01-f40261e0a3de,bb432b46-9db3-5087-86a6-667d8a5461d2,\N,mains,Main Dishes,Fictional sample main dishes,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
1f417d8c-2b59-5b35-88c6-c6cc715f3d28,bb432b46-9db3-5087-86a6-667d8a5461d2,\N,drinks,Drinks,Fictional sample beverages,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
459e0e39-2ccd-563a-9915-f122721e5a0e,02893fb5-cd61-516d-a1c6-a31b633a8440,\N,mains,Main Dishes,Fictional sample main dishes,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
53456a93-868d-5b2f-9ee1-a0015e303f97,02893fb5-cd61-516d-a1c6-a31b633a8440,\N,drinks,Drinks,Fictional sample beverages,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
7c494735-cbff-5541-8e2e-44fc5c710c73,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,\N,mains,Main Dishes,Fictional sample main dishes,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
f1eff3b8-9e5a-5f98-9bb2-ca80632687a7,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,\N,drinks,Drinks,Fictional sample beverages,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
c1c71187-0109-536e-a124-ec21d3beff0b,292495cc-29f1-532a-8347-61381793ace8,\N,mains,Main Dishes,Fictional sample main dishes,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
b1cc0e7a-65b3-5b8b-b253-0bced17944da,292495cc-29f1-532a-8347-61381793ace8,\N,drinks,Drinks,Fictional sample beverages,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
8c36cb64-8013-51e6-8dbc-9e578e054bae,f336981e-6b07-55f6-8f3b-5bb68a996561,\N,mains,Main Dishes,Fictional sample main dishes,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
dc591a22-1d1c-585a-8bfe-88c1cdcdc7ae,f336981e-6b07-55f6-8f3b-5bb68a996561,\N,drinks,Drinks,Fictional sample beverages,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
a6bedc75-c7d6-583d-95ba-ab737657b0d0,5afbb73d-34da-5169-9cd6-3631b29d6906,\N,mains,Main Dishes,Fictional sample main dishes,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ea79216c-be3e-5099-9440-75799c8c6b8d,5afbb73d-34da-5169-9cd6-3631b29d6906,\N,drinks,Drinks,Fictional sample beverages,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
56bec659-ae38-5971-b4f5-d7730a15b51e,95aa4d42-7203-5581-a314-7ba4ff85735b,\N,mains,Main Dishes,Fictional sample main dishes,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
68a5a088-5a51-5038-a2c5-ecf5e0bbd3ae,95aa4d42-7203-5581-a314-7ba4ff85735b,\N,drinks,Drinks,Fictional sample beverages,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
1890af95-243f-5618-a036-1a42b4839fc3,8550b566-c89f-5552-86ca-8f25b0b21d4d,\N,mains,Main Dishes,Fictional sample main dishes,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
19eb7dee-012a-52d7-89d1-52315171e753,8550b566-c89f-5552-86ca-8f25b0b21d4d,\N,drinks,Drinks,Fictional sample beverages,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
5c7790b1-45c3-52aa-8d63-eea4753dd0db,d615a3b5-351d-5ed5-bb69-c4dcac36aa00,\N,mains,Main Dishes,Fictional sample main dishes,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
d79aaed9-cb13-5144-ad35-393f8ac15dee,d615a3b5-351d-5ed5-bb69-c4dcac36aa00,\N,drinks,Drinks,Fictional sample beverages,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
02970b73-1495-5953-91d8-d57c67a55fee,bb3ac671-6c2e-5416-acd7-85d71693d50e,\N,mains,Main Dishes,Fictional sample main dishes,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
b80b6aaf-181b-5abc-aad9-f6766de27087,bb3ac671-6c2e-5416-acd7-85d71693d50e,\N,drinks,Drinks,Fictional sample beverages,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
36701db7-c91c-5644-b7d0-c8de1fa74744,bfad71f3-0e54-5467-bb83-c8664b3d7bc3,\N,mains,Main Dishes,Fictional sample main dishes,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
