id,restaurant_id,code,name,status,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000101,ca000000-0000-0000-0000-000000000001,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
50faa3a8-eeef-501e-b6db-cfc6a78318b8,6e5493c8-856c-52d6-b23f-a9b8265b82a1,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ff59c231-e51b-59c6-9624-136d205f7e34,bb432b46-9db3-5087-86a6-667d8a5461d2,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
542de73c-2359-53a5-a8dd-a97a3540a0ad,02893fb5-cd61-516d-a1c6-a31b633a8440,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
b9416b2c-ee20-5b99-8982-a928a7904df4,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
c144cc70-b692-5d28-a245-4481b52085a6,292495cc-29f1-532a-8347-61381793ace8,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
939ed53f-866b-590a-947b-c2aad1782769,f336981e-6b07-55f6-8f3b-5bb68a996561,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
045b8aa8-e739-5fdc-8537-80b196043bf8,5afbb73d-34da-5169-9cd6-3631b29d6906,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
b80f93a6-8fce-5ce5-88d5-feafff6d0ebf,95aa4d42-7203-5581-a314-7ba4ff85735b,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
89619ac5-b100-5699-8ce0-7368492edf77,8550b566-c89f-5552-86ca-8f25b0b21d4d,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
fef729b6-dbdc-5c2e-a16f-d1a0d1e3bac5,d615a3b5-351d-5ed5-bb69-c4dcac36aa00,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
38ba92a1-2067-55ff-9c04-63827725f2b9,bb3ac671-6c2e-5416-acd7-85d71693d50e,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
a87dbb93-112c-5745-9d70-210eee0b1d3f,bfad71f3-0e54-5467-bb83-c8664b3d7bc3,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
28e991b8-ee13-5a20-9e30-559b11c788d4,104f9e79-e136-5ed4-a852-64d160340e45,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
cf24f4fe-1ca2-5208-9f68-b17679c895f8,caa70f0d-2314-5cf5-a481-0c259c347e04,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
b11732a3-e0cb-5831-8859-1b0453110943,a8e4c50c-665a-56b1-b68c-03b500b4ba4a,standard,Standard Tax,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
