id,restaurant_id,branch_id,product_id,product_variant_id,preparation_station_id,priority,status,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca000000-0000-0000-0000-000000000821,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000002,ca000000-0000-0000-0000-000000000301,\N,ca000000-0000-0000-0000-000000000003,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ca000000-0000-0000-0000-000000000822,ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000002,ca000000-0000-0000-0000-000000000302,ca000000-0000-0000-0000-000000000401,ca000000-0000-0000-0000-000000000004,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
19bcfd16-5b09-5a4b-bb46-9b7816fe5e71,6e5493c8-856c-52d6-b23f-a9b8265b82a1,09bc7770-60a5-5937-9095-dddde233baed,83686fd2-1032-5473-a5e2-3a1b1c8d78c0,\N,71c30b71-ac96-5091-9412-cfe9f8a06f37,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
ce45cee3-bac9-5422-9058-17134f33c4a7,6e5493c8-856c-52d6-b23f-a9b8265b82a1,09bc7770-60a5-5937-9095-dddde233baed,4695d689-2aec-5a8e-91d0-ba2db9ca6d0e,2797492b-5bbc-5862-9970-e5142c69bf81,f167e2c2-8915-5271-bbe2-bc6e46c07053,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
3f3f6ad1-ff20-54db-8a0c-12f79bab9c93,bb432b46-9db3-5087-86a6-667d8a5461d2,c2581768-52bb-5a5e-bb60-ea8630c0cc48,5b524556-2840-5352-930a-3665399f88b1,\N,3d296e9d-0a6e-5458-ba5d-f375605f8052,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
baeb8e95-406a-5724-aabf-fedef9930369,bb432b46-9db3-5087-86a6-667d8a5461d2,c2581768-52bb-5a5e-bb60-ea8630c0cc48,2185c73f-9a70-5a46-accc-7acff93af0ae,4d3f0559-0ac6-549b-bb62-5feb48832393,bc182f17-bfec-5ace-ba51-0d6b32d2f496,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
70a76e5e-5ad9-5cfa-a177-340a75501313,02893fb5-cd61-516d-a1c6-a31b633a8440,2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,8712d970-0129-5558-8212-9bafaf6b9bb6,\N,460f3759-9ab9-54d3-adc7-d7b498223c32,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
4f5a5464-bdf4-5af1-8142-087ebce1bf81,02893fb5-cd61-516d-a1c6-a31b633a8440,2a2b6bc7-1854-532c-b84a-1abd99d2f0d2,f3e77a4e-a77c-56b7-ad36-79aa5284023c,9eeb00a1-7da7-5f14-8951-ab6fa9f10829,6d76fe13-1fce-5a5c-baf4-9645c1ac1b6b,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
432c2ce7-efc0-5055-8a60-bba6c7418847,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,c0a7cac5-1d51-54cc-8e20-d091007b9a5a,ce15e28e-6590-5ee9-a5a6-1f0910b46e7f,\N,426fde10-4dae-5c84-abc9-2e76f8b92c71,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
8f395364-533c-5c36-91a2-7b9aaae3d16a,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,c0a7cac5-1d51-54cc-8e20-d091007b9a5a,9a724731-c0cc-5a1d-8c52-5e70ac52f5a6,e8fc0430-deb7-5c5a-a6f7-c7ea97724853,2bdec562-fb4e-5795-83ce-62eaf90d2509,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
76ce1b90-a359-5d78-8bcb-3aaa267e1d19,292495cc-29f1-532a-8347-61381793ace8,68c8496c-6b5f-5845-99d6-46d8d79afb1f,5aa1c0aa-c074-5aae-a3e6-ee3b9c0214a0,\N,ae1ba148-3ef0-5f91-b041-d5d3d4bf25cd,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
8d75479c-20a4-5918-b066-2518d02a62c4,292495cc-29f1-532a-8347-61381793ace8,68c8496c-6b5f-5845-99d6-46d8d79afb1f,491ad47d-eeaa-5ed0-aeee-ec20ad1523f6,e42d534c-e9f0-5698-8d28-1daaf3500de1,b82ecff7-cf2c-52dd-bef9-8536e612a118,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
7fc84f1d-5993-5e60-bb23-0aae6381705f,f336981e-6b07-55f6-8f3b-5bb68a996561,87111368-22a3-51ff-a055-d0af38899e40,c756216f-bd8b-59f6-b2f4-b443cc47a99f,\N,0432a1fa-986e-584b-a6ba-8b04746a12cf,10,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e704bfdb-ea26-5f80-bf2e-f5363712dce8,f336981e-6b07-55f6-8f3b-5bb68a996561,87111368-22a3-51ff-a055-d0af38899e40,f388bf25-5fea-58c6-a437-5cd3c971f1ba,a15341a8-46f0-54c6-ad64-15c3c236e58c,3da210d0-885e-59db-8900-9147c8b28a91,20,active,2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
