restaurant_id,menu_id,category_id,display_order,created_at_utc,created_by
ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000701,ca000000-0000-0000-0000-000000000201,10,2026-01-01T00:00:00Z,sample-data
ca000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000701,ca000000-0000-0000-0000-000000000202,20,2026-01-01T00:00:00Z,sample-data
6e5493c8-856c-52d6-b23f-a9b8265b82a1,e22ad3eb-7e41-5ba1-918c-71510edeac07,2998a577-5416-5833-bdab-4c735e5f3b66,10,2026-01-01T00:00:00Z,sample-data
6e5493c8-856c-52d6-b23f-a9b8265b82a1,e22ad3eb-7e41-5ba1-918c-71510edeac07,b2f46c5d-d932-53b5-aa1d-b90bbef0be4f,20,2026-01-01T00:00:00Z,sample-data
bb432b46-9db3-5087-86a6-667d8a5461d2,6e9c1da1-25b5-5383-a97d-55adf74234d1,15cb7453-c9ed-5fce-ba01-f40261e0a3de,10,2026-01-01T00:00:00Z,sample-data
bb432b46-9db3-5087-86a6-667d8a5461d2,6e9c1da1-25b5-5383-a97d-55adf74234d1,1f417d8c-2b59-5b35-88c6-c6cc715f3d28,20,2026-01-01T00:00:00Z,sample-data
02893fb5-cd61-516d-a1c6-a31b633a8440,dec2ffbd-e425-5bee-ac7b-44bc043bcd28,459e0e39-2ccd-563a-9915-f122721e5a0e,10,2026-01-01T00:00:00Z,sample-data
02893fb5-cd61-516d-a1c6-a31b633a8440,dec2ffbd-e425-5bee-ac7b-44bc043bcd28,53456a93-868d-5b2f-9ee1-a0015e303f97,20,2026-01-01T00:00:00Z,sample-data
8c3b74c7-06ef-5cee-b54c-5f1604076f2e,4bea7c14-1365-5aa6-9b1d-38db14ddb5bb,7c494735-cbff-5541-8e2e-44fc5c710c73,10,2026-01-01T00:00:00Z,sample-data
8c3b74c7-06ef-5cee-b54c-5f1604076f2e,4bea7c14-1365-5aa6-9b1d-38db14ddb5bb,f1eff3b8-9e5a-5f98-9bb2-ca80632687a7,20,2026-01-01T00:00:00Z,sample-data
292495cc-29f1-532a-8347-61381793ace8,bf9da953-7515-5a04-853f-0cfca9756dea,c1c71187-0109-536e-a124-ec21d3beff0b,10,2026-01-01T00:00:00Z,sample-data
292495cc-29f1-532a-8347-61381793ace8,bf9da953-7515-5a04-853f-0cfca9756dea,b1cc0e7a-65b3-5b8b-b253-0bced17944da,20,2026-01-01T00:00:00Z,sample-data
f336981e-6b07-55f6-8f3b-5bb68a996561,9d364008-e6e1-5472-990d-eefa9287375e,8c36cb64-8013-51e6-8dbc-9e578e054bae,10,2026-01-01T00:00:00Z,sample-data
f336981e-6b07-55f6-8f3b-5bb68a996561,9d364008-e6e1-5472-990d-eefa9287375e,dc591a22-1d1c-585a-8bfe-88c1cdcdc7ae,20,2026-01-01T00:00:00Z,sample-data
5afbb73d-34da-5169-9cd6-3631b29d6906,b396dc53-9534-5033-a785-309ef25c6a39,a6bedc75-c7d6-583d-95ba-ab737657b0d0,10,2026-01-01T00:00:00Z,sample-data
5afbb73d-34da-5169-9cd6-3631b29d6906,b396dc53-9534-5033-a785-309ef25c6a39,ea79216c-be3e-5099-9440-75799c8c6b8d,20,2026-01-01T00:00:00Z,sample-data
95aa4d42-7203-5581-a314-7ba4ff85735b,e6d354f0-0daa-582b-9bdb-33b961f7431a,56bec659-ae38-5971-b4f5-d7730a15b51e,10,2026-01-01T00:00:00Z,sample-data
95aa4d42-7203-5581-a314-7ba4ff85735b,e6d354f0-0daa-582b-9bdb-33b961f7431a,68a5a088-5a51-5038-a2c5-ecf5e0bbd3ae,20,2026-01-01T00:00:00Z,sample-data
8550b566-c89f-5552-86ca-8f25b0b21d4d,367eb3bc-483a-5546-b7aa-4b2e0c12277b,1890af95-243f-5618-a036-1a42b4839fc3,10,2026-01-01T00:00:00Z,sample-data
8550b566-c89f-5552-86ca-8f25b0b21d4d,367eb3bc-483a-5546-b7aa-4b2e0c12277b,19eb7dee-012a-52d7-89d1-52315171e753,20,2026-01-01T00:00:00Z,sample-data
d615a3b5-351d-5ed5-bb69-c4dcac36aa00,1ed50428-fa44-5d81-8e98-dd05a200c4ec,5c7790b1-45c3-52aa-8d63-eea4753dd0db,10,2026-01-01T00:00:00Z,sample-data
d615a3b5-351d-5ed5-bb69-c4dcac36aa00,1ed50428-fa44-5d81-8e98-dd05a200c4ec,d79aaed9-cb13-5144-ad35-393f8ac15dee,20,2026-01-01T00:00:00Z,sample-data
