id,stock_item_id,movement_type,quantity_delta,balance_after,reference_type,reference_id,reason_code,occurred_at_utc,recorded_by
1a000000-0000-0000-0000-000000000003,1a000000-0000-0000-0000-000000000002,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
89e0309c-b272-5545-b045-cb16c7c7a885,89932c57-9cff-5fc2-b2ec-96cc52e375db,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
63d2d675-24f1-5178-9d98-bf4a150ee022,3da31e3b-3db8-5c2f-960b-451e23ccd717,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
ccb28316-bbff-5e20-acd6-738b774a16f4,59b2b237-469c-503b-b220-8b1fc7f249e0,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
f7287f07-7274-5c9c-a21d-3b74c2e49656,71beb9fe-9b6b-5d09-a594-66cddaef88a1,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
1ca698ea-0998-59bd-9b79-dc9dad915988,c7d946f3-0ae5-5a3d-8043-de93b0c4706f,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
3ed9fc86-f1ed-5b45-baff-c0b3af49b789,21169774-b02e-5b20-9268-78995c34ca7c,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
fa9bb8a0-5457-548e-bea0-229dcf87cf20,ae85b7a7-6f9e-590a-9803-8895a8dfff9d,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
36033d6a-216a-5c27-8bab-c7a967ad768d,24f6d720-a02c-502d-9766-ff77d309cc17,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
1e25f77b-8d5d-58d5-a2e5-adf598375530,8aaba513-7cc5-5993-a28b-a4e69175293b,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
958b56d3-a47d-5f7b-99aa-801d44304a4b,178e8cbc-fafc-5a4d-9037-32eba1347fef,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
f255d5e5-4736-5a7a-b382-82deb833be7b,ba0f0339-b682-5bc7-aaf1-c5c662424169,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
51e4be99-de77-55ab-9dd4-781f6eb5ae60,fcb9d801-2a7a-53b6-831d-4cc5ee81a68d,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
3c3ec90d-649e-5857-856a-afc93ba42f31,d65c12f1-04d2-5433-b7d7-bf70ba379fd2,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
436a9ff7-8520-525a-a4b6-4a5904ea4315,032d6b0b-228e-5a6d-b6df-0a894e68d55b,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
b72b739e-845e-54f8-8152-4cb691260c68,10f7d476-317a-59ec-aace-bf20346d9284,receipt,50.0000,50.0000,sample_load,\N,initial_sample_stock,2026-01-01T00:00:00Z,sample-data
