id,stock_item_id,order_id,order_line_id,quantity,status,reserved_at_utc,expires_at_utc,completed_at_utc,concurrency_version
1a000000-0000-0000-0000-000000000004,1a000000-0000-0000-0000-000000000002,0d000000-0000-0000-0000-000000000001,0d000000-0000-0000-0000-000000000002,1.0000,active,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z,\N,1
8dc0937b-0817-5094-9f46-c028b897309d,89932c57-9cff-5fc2-b2ec-96cc52e375db,1ac47f46-9b76-52e7-9710-a3270fdb6c0d,a593f0b5-8993-5ba4-85c3-93999ba3f1f3,1.0000,active,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z,\N,1
e4cdf031-91e0-502f-be64-ffbfc5db320b,3da31e3b-3db8-5c2f-960b-451e23ccd717,85924700-20f0-57e2-b29c-b6e2b159a606,0d48819b-642f-5588-865f-0dbc6bbe955b,1.0000,active,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z,\N,1
4302daba-3ed8-5d02-9866-6b4e6d885977,59b2b237-469c-503b-b220-8b1fc7f249e0,dc99f6f9-706a-506f-bc05-40359b125d5c,999f5a59-3d14-5285-938d-463bede3c48c,1.0000,active,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z,\N,1
e23b70be-8bdc-5335-8b11-eb0085e65dde,71beb9fe-9b6b-5d09-a594-66cddaef88a1,9256c8c8-680f-516d-bb84-8382ffd14af4,a200074a-e3a0-50f9-bd46-030062bce7c8,1.0000,active,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z,\N,1
78f7eaea-ddc5-5112-9a5e-b7306c8f3436,c7d946f3-0ae5-5a3d-8043-de93b0c4706f,350a23ee-21a4-5eb7-9c80-119858f5e6f1,6f16ad8c-5da6-5c04-856f-7e8d2e704a37,1.0000,active,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z,\N,1
abfa59a9-bd11-5d74-864b-48559009d360,21169774-b02e-5b20-9268-78995c34ca7c,1c04c73e-f11e-5d30-8569-603615419a07,58b18c88-a62c-5dd3-91fd-ab853d56125c,1.0000,active,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z,\N,1
b16d7939-f237-5feb-b25d-9d79fc4c8b6b,ae85b7a7-6f9e-590a-9803-8895a8dfff9d,ecd8c9c4-f108-5631-8771-8012591a3342,e1b99fb7-bdb7-53d9-ab1b-f5f5f4e81aa1,1.0000,active,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z,\N,1
9439919d-9834-5416-9b84-26aaf4a4e6e2,24f6d720-a02c-502d-9766-ff77d309cc17,5f93610e-1295-57be-8f01-73c755b8a29b,74e9db19-03a3-5e49-b016-44fd832f30d6,1.0000,active,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z,\N,1
1a6a75a5-c097-5e7c-915f-07574750117d,8aaba513-7cc5-5993-a28b-a4e69175293b,82ccac59-060b-5257-a765-69f8d1da1e62,8f47c7e2-02ff-5490-9a56-5249ac5881f0,1.0000,active,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z,\N,1
3c885228-4a34-5f89-968b-a39f72d5e600,178e8cbc-fafc-5a4d-9037-32eba1347fef,450dca80-f375-51db-9401-680b18119c56,6398393b-1a05-50cf-ac8c-7b01708fc119,1.0000,active,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z,\N,1
b474c692-4b67-5a35-bb41-70061eb7d581,ba0f0339-b682-5bc7-aaf1-c5c662424169,dd4b24fe-84b1-5666-8b71-c6f07650b798,07c21827-a5ec-55f2-add7-a2ec35aaf965,1.0000,active,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z,\N,1
