id,restaurant_id,warehouse_id,product_id,product_variant_id,unit_of_measure,on_hand_quantity,reserved_quantity,reorder_level,updated_at_utc,concurrency_version
1a000000-0000-0000-0000-000000000002,ca000000-0000-0000-0000-000000000001,1a000000-0000-0000-0000-000000000001,ca000000-0000-0000-0000-000000000301,\N,each,50.0000,1.0000,10.0000,2026-01-01T00:00:00Z,1
89932c57-9cff-5fc2-b2ec-96cc52e375db,6e5493c8-856c-52d6-b23f-a9b8265b82a1,347140e0-4536-5db5-9859-0d465df6944b,83686fd2-1032-5473-a5e2-3a1b1c8d78c0,\N,each,50.0000,1.0000,10.0000,2026-01-01T00:00:00Z,1
3da31e3b-3db8-5c2f-960b-451e23ccd717,bb432b46-9db3-5087-86a6-667d8a5461d2,3efd856f-1dd6-53bf-9911-41dcc1658678,5b524556-2840-5352-930a-3665399f88b1,\N,each,50.0000,1.0000,10.0000,2026-01-01T00:00:00Z,1
59b2b237-469c-503b-b220-8b1fc7f249e0,02893fb5-cd61-516d-a1c6-a31b633a8440,11a212d9-d510-578b-8f21-bca463acc1c7,8712d970-0129-5558-8212-9bafaf6b9bb6,\N,each,50.0000,1.0000,10.0000,2026-01-01T00:00:00Z,1
71beb9fe-9b6b-5d09-a594-66cddaef88a1,8c3b74c7-06ef-5cee-b54c-5f1604076f2e,878bd6a6-9b70-5b0c-bcae-238aa3c4ab14,ce15e28e-6590-5ee9-a5a6-1f0910b46e7f,\N,each,50.0000,1.0000,10.0000,2026-01-01T00:00:00Z,1
c7d946f3-0ae5-5a3d-8043-de93b0c4706f,292495cc-29f1-532a-8347-61381793ace8,eaea3e19-9a4a-5661-98dd-ae860493c5ae,5aa1c0aa-c074-5aae-a3e6-ee3b9c0214a0,\N,each,50.0000,1.0000,10.0000,2026-01-01T00:00:00Z,1
21169774-b02e-5b20-9268-78995c34ca7c,f336981e-6b07-55f6-8f3b-5bb68a996561,e825f2b0-53d8-5b99-b316-6f558463de9d,c756216f-bd8b-59f6-b2f4-b443cc47a99f,\N,each,50.0000,1.0000,10.0000,2026-01-01T00:00:00Z,1
ae85b7a7-6f9e-590a-9803-8895a8dfff9d,5afbb73d-34da-5169-9cd6-3631b29d6906,82c5bff4-26e1-5cfb-a10d-cc3b54eeae5e,2a1ef463-3feb-5b55-9cbe-ff8a287f6f33,\N,each,50.0000,1.0000,10.0000,2026-01-01T00:00:00Z,1
24f6d720-a02c-502d-9766-ff77d309cc17,95aa4d42-7203-5581-a314-7ba4ff85735b,694f5d06-ff80-594c-ac19-6ed451e5e70e,df05dee3-4125-5649-a6c0-fd9d82793f65,\N,each,50.0000,1.0000,10.0000,2026-01-01T00:00:00Z,1
8aaba513-7cc5-5993-a28b-a4e69175293b,8550b566-c89f-5552-86ca-8f25b0b21d4d,333d805e-016a-54d3-82c1-9448af381e73,4cb83726-bd49-5de9-bc9b-5ee9a9f13d33,\N,each,50.0000,1.0000,10.0000,2026-01-01T00:00:00Z,1
