id,customer_id,program_code,loyalty_number,points_balance,tier_code,status,joined_at_utc,updated_at_utc,concurrency_version
c5000000-0000-0000-0000-000000000004,c5000000-0000-0000-0000-000000000001,DEMO_REWARDS,DEMO-L-0001,125.0000,silver,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,1
5678ecee-e92b-53ba-a2e7-d9d4d5d71260,8bd6f9c9-b7a5-58e3-8b24-a6de79dbaf44,DEMO_REWARDS,DEMO-L-0001-r01,125.0000,silver,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,1
ccadfe21-4977-5ba6-bc58-cb8e1dd13ac0,be528f36-b683-51fc-bb91-63d4ffd6dc83,DEMO_REWARDS,DEMO-L-0001-r02,125.0000,silver,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,1
eab2a20a-327b-5dbf-a1e5-e768bebeaf47,0b266f06-c755-5169-bc3e-ba9b1bdd2f8f,DEMO_REWARDS,DEMO-L-0001-r03,125.0000,silver,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,1
de905f96-a285-5c8f-9296-1e085153f1c4,7cbe3383-9bbd-59f0-b0f5-f97f28407fca,DEMO_REWARDS,DEMO-L-0001-r04,125.0000,silver,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,1
b830ae2c-f259-5cb8-b21c-681fe13b0f84,16d238ca-c49a-50fc-bc41-9e42cddf20fb,DEMO_REWARDS,DEMO-L-0001-r05,125.0000,silver,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,1
5280682e-52a2-5e80-b33d-74e80528139c,b3a6a94b-4f02-542c-8cb7-51c81f7c597a,DEMO_REWARDS,DEMO-L-0001-r06,125.0000,silver,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,1
dc592783-328b-54b9-bcb6-b0e5a7a4e646,8440e79a-e220-5289-b652-ffe22e4d2854,DEMO_REWARDS,DEMO-L-0001-r07,125.0000,silver,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,1
8f9e7707-09b5-5fdd-8b94-a18ab73bfc5b,9a07c783-0054-5fb8-8db7-f2ee5c72f663,DEMO_REWARDS,DEMO-L-0001-r08,125.0000,silver,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,1
5aae9aca-ebab-52ec-ba8c-dd422c8d54bd,4ff8f0ff-43ae-531e-a627-25bc8ce28c80,DEMO_REWARDS,DEMO-L-0001-r09,125.0000,silver,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,1
